idHidreletrica;AttVetor;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021;09/2021;10/2021;11/2021;12/2021;01/2022;02/2022;03/2022;04/2022;05/2022;06/2022;07/2022;08/2022;09/2022;10/2022;11/2022;12/2022;01/2023;02/2023;03/2023;04/2023;05/2023;06/2023;07/2023;08/2023;09/2023;10/2023;11/2023;12/2023;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024;
1;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;potencia_maxima_media;46;46.000000000046;46.000000000046;46;45.999999999954;46;46.000000000046;45.999999999954;46;46;46;46;46;46;46;46;45.999999999954;46;46.000000000046;46;46;46;45.999999999954;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;
1;potencia_disponivel_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;potencia_disponivel_maxima_media;43.930000000000;43.930000000044;43.930000000044;43.930000000000;43.929999999956;44.206000000000;44.160000000044;44.159999999956;44.160000000000;44.160000000000;44.160000000000;44.160000000000;44.160000000000;44.160000000000;44.160000000000;44.160000000000;44.159999999956;44.252000000000;44.252000000044;44.252000000000;44.252000000000;44.252000000000;44.251999999956;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;44.252000000000;
1;vazao_turbinada_disponivel_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;vazao_turbinada_disponivel_maxima_media;194.644650927661;201.935269086456;210.882800723540;210.499706271432;212.737264753638;214.514978523314;214.397042550105;213.822095565485;211.752949198416;206.887328497726;192.564246577830;193.280271908329;199.724793092560;206.116701928015;208.332857080708;210.174585276732;211.144899838886;210.664713573516;209.793985416346;206.099915640439;201.471889191905;198.025367143021;199.034396838542;199.312903068129;203.005306972437;205.224509302853;207.169329582561;208.981055991745;209.106142827932;210.664713573516;209.793985416136;206.099915640439;201.471889191905;198.025367143021;199.034396838741;199.312903068129;203.005306972437;205.224509302853;207.169329582561;208.981055991745;209.106142827932;210.664713573516;209.793985416136;206.099915640439;201.471889191905;198.025367143021;199.034396838741;199.312903068129;203.005306972437;205.224509302853;207.169329582561;208.981055991745;209.106142827932;210.664713573516;209.793985416136;206.099915640439;201.471889191905;198.025367143021;199.034396838741;199.312903068129;
1;vazao_defluente_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;vazao_defluente_maxima_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
2;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;potencia_maxima_media;52;52.000000000052;52.000000000052;52;51.999999999948;52;52.000000000052;51.999999999948;52;52;52;52;52;52;52;52;51.999999999948;52;52.000000000052;52;52;52;51.999999999948;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;
