idHidreletrica;AttVetor;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021;09/2021;10/2021;11/2021;12/2021;01/2022;02/2022;03/2022;04/2022;05/2022;06/2022;07/2022;08/2022;09/2022;10/2022;11/2022;12/2022;01/2023;02/2023;03/2023;04/2023;05/2023;06/2023;07/2023;08/2023;09/2023;10/2023;11/2023;12/2023;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024;
2;potencia_disponivel_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;potencia_disponivel_maxima_media;48.412000000000;48.412000000048;48.412000000048;48.412000000000;48.411999999952;48.204000000000;48.152000000048;48.151999999952;48.152000000000;48.152000000000;48.152000000000;48.152000000000;48.152000000000;48.152000000000;48.152000000000;48.152000000000;48.151999999952;47.736000000000;47.736000000048;47.736000000000;47.736000000000;47.736000000000;47.735999999952;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;47.736000000000;
2;vazao_turbinada_disponivel_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;vazao_turbinada_disponivel_maxima_media;197.853682573597;201.589176142316;201.589176142316;201.589176142114;201.589176141912;200.723057232803;200.506527505675;200.506527505275;200.506527505475;200.506527505475;200.506527505475;200.506527505475;200.506527505475;200.506527505475;200.506527505475;200.506527505475;200.506527505275;198.774289686853;198.774289687052;198.774289686853;198.774289686853;198.774289686853;198.774289686654;198.774289686853;198.774289686853;195.863468452970;195.863468452970;195.863468452970;195.863468452970;198.774289686853;198.774289686853;198.774289686853;198.774289686853;198.774289686853;198.774289686853;198.774289686853;198.774289686853;195.863468452970;195.863468452970;195.863468452970;195.863468452970;198.774289686853;198.774289686853;198.774289686853;198.774289686853;198.774289686853;198.774289686853;198.774289686853;198.774289686853;195.863468452970;195.863468452970;195.863468452970;195.863468452970;198.774289686853;198.774289686853;198.774289686853;198.774289686853;198.774289686853;198.774289686853;198.774289686853;
2;vazao_defluente_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;vazao_defluente_maxima_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
3;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;potencia_maxima_media;180;180.000000000180;180.000000000180;180;179.999999999820;180;180.000000000180;179.999999999820;180;180;180;180;180;180;180;180;179.999999999820;180;180.000000000180;180;180;180;179.999999999820;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;
3;potencia_disponivel_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;potencia_disponivel_maxima_media;167.760000000000;167.760000000168;167.760000000168;167.760000000000;167.759999999832;169.560000000000;169.560000000170;169.559999999830;169.560000000000;169.560000000000;169.560000000000;169.560000000000;169.560000000000;169.560000000000;169.560000000000;169.560000000000;169.559999999830;171.360000000000;171.360000000171;171.360000000000;171.360000000000;171.360000000000;171.359999999829;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;171.360000000000;
3;vazao_turbinada_disponivel_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;vazao_turbinada_disponivel_maxima_media;485.214976546952;479.174001632964;479.174001632964;479.174001632485;479.174001632006;484.315353581331;484.315353581815;484.315353580847;484.315353581331;484.315353581331;484.315353581331;484.315353581331;484.315353581331;484.315353581331;484.315353581331;484.315353581331;484.315353580847;489.456705530177;489.456705530666;489.456705530177;489.456705530177;489.456705530177;489.456705529688;489.456705530177;489.456705530177;482.812860395364;482.812860395364;482.812860395364;482.812860395364;489.456705530177;489.456705530177;489.456705530177;489.456705530177;489.456705530177;489.456705530177;489.456705530177;489.456705530177;482.812860395364;482.812860395364;482.812860395364;482.812860395364;489.456705530177;489.456705530177;489.456705530177;489.456705530177;489.456705530177;489.456705530177;489.456705530177;489.456705530177;482.812860395364;482.812860395364;482.812860395364;482.812860395364;489.456705530177;489.456705530177;489.456705530177;489.456705530177;489.456705530177;489.456705530177;489.456705530177;
3;vazao_defluente_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;vazao_defluente_maxima_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
4;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;potencia_maxima_media;1312;1312.000000001312;1312.000000001312;1312;1311.999999998688;1312;1312.000000001312;1311.999999998688;1312;1312;1312;1312;1312;1312;1312;1312;1311.999999998688;1312;1312.000000001312;1312;1312;1312;1311.999999998688;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;1312;
4;potencia_disponivel_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;potencia_disponivel_maxima_media;1098.144000000000;1098.144000001098;1098.144000001098;1098.144000000000;1098.143999998902;1207.040000000000;1179.488000001179;1179.487999998821;1179.488000000001;1179.488000000000;1179.488000000000;1179.488000000000;1179.488000000000;1179.488000000000;1179.488000000000;1179.488000000000;1179.487999998821;1266.080000000000;1266.080000001266;1266.080000000000;1266.080000000000;1266.080000000000;1266.079999998734;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.079999999999;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.079999999999;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.079999999999;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;1266.080000000000;
4;vazao_turbinada_disponivel_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;vazao_turbinada_disponivel_maxima_media;1334.026725880897;1337.488088852435;1376.232286147982;1400.237005104914;1400.387681288582;1539.255276925667;1504.120102127781;1504.120102124773;1498.244613731548;1485.611076558474;1465.690978945834;1451.338645563142;1434.073100139832;1457.831649407474;1467.009719542604;1480.536364331208;1481.345620910507;1587.494236301656;1579.446845013500;1566.972792999197;1552.886883028356;1477.334335331811;1481.641541626179;1490.294744414128;1503.276491165226;1549.374917984655;1578.683007648488;1583.866054519853;1590.826038931984;1587.494236301656;1579.446845011920;1566.972792999197;1552.886883028356;1477.334335331811;1481.641541627661;1490.294744414128;1503.276491165226;1549.374917984655;1578.683007648488;1583.866054519853;1590.826038931984;1587.494236301656;1579.446845011920;1566.972792999197;1552.886883028356;1477.334335331811;1481.641541627661;1490.294744414128;1503.276491165226;1549.374917984655;1578.683007648488;1583.866054519853;1590.826038931984;1587.494236301656;1579.446845011920;1566.972792999197;1552.886883028356;1477.334335331811;1481.641541627661;1490.294744414128;
4;vazao_defluente_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;vazao_defluente_maxima_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
5;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;potencia_maxima_media;478;478.000000000478;478.000000000478;478;477.999999999522;478;478.000000000478;477.999999999522;478;478;478;478;478;478;478;478;477.999999999522;478;478.000000000478;478;478;478;477.999999999522;478;478;478;478;478;478.000000000000;478.000000000000;478;478;478;478;478;478;478;478;478;478;478.000000000000;478.000000000000;478;478;478;478;478;478;478;478;478;478;478;478;478;478.000000000000;478;478;478;478;
5;potencia_disponivel_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;potencia_disponivel_maxima_media;416.816000000000;416.816000000417;416.816000000417;416.816000000000;416.815999999583;426.854000000000;421.596000000422;421.595999999578;421.596000000000;421.596000000000;421.596000000000;421.596000000000;421.596000000000;421.596000000000;421.596000000000;421.596000000000;421.595999999578;449.320000000000;449.320000000449;449.320000000000;449.320000000000;449.320000000000;449.319999999551;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;449.320000000000;
5;vazao_turbinada_disponivel_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;vazao_turbinada_disponivel_maxima_media;1069.197410064524;1090.789420088906;1124.235621071694;1138.766574975696;1134.737407888057;1176.989807153798;1162.035822507076;1131.797933855779;1112.483114153604;1108.624419948003;1093.908804441174;1072.987566701893;1079.596717149308;1072.635642698761;1077.993744246970;1102.272921013029;1114.846491732331;1197.093042593318;1186.710940555217;1163.288493776165;1127.666086311524;1025.466992152385;1026.706659206453;1026.010214068866;1056.568852179028;1137.471923657428;1179.679789604174;1177.242303454112;1189.236029695442;1197.093042593318;1186.710940554030;1163.288493776165;1127.666086311524;1025.466992152385;1026.706659207480;1026.010214068866;1056.568852179028;1137.471923657428;1179.679789604174;1177.242303454112;1189.236029695442;1197.093042593318;1186.710940554030;1163.288493776165;1127.666086311524;1025.466992152385;1026.706659207480;1026.010214068866;1056.568852179028;1137.471923657428;1179.679789604174;1177.242303454112;1189.236029695442;1197.093042593318;1186.710940554030;1163.288493776165;1127.666086311524;1025.466992152385;1026.706659207480;1026.010214068866;
5;vazao_defluente_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;vazao_defluente_maxima_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
6;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;potencia_maxima_media;1104;1104.000000001104;1104.000000001104;1104;1103.999999998896;1104;1104.000000001104;1103.999999998896;1104;1104;1104;1104;1104;1104;1104;1104;1103.999999998896;1104;1104.000000001104;1104;1104;1104;1103.999999998896;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;1104;
6;potencia_disponivel_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;potencia_disponivel_maxima_media;1020.096000000000;1020.096000001020;1020.096000001020;1020.096000000000;1020.095999998980;1043.280000000000;1043.280000001043;1043.279999998957;1043.280000000000;1043.280000000000;1043.280000000000;1043.280000000000;1043.280000000000;1043.280000000000;1043.280000000000;1043.280000000000;1043.279999998957;1062.048000000000;1062.048000001062;1062.048000000000;1062.048000000000;1062.048000000000;1062.047999998938;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;1062.048000000000;
6;vazao_turbinada_disponivel_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;vazao_turbinada_disponivel_maxima_media;1812.757713573787;1851.480999577373;1851.480999577373;1851.480999575522;1851.480999573670;1893.560113202238;1893.560113204132;1893.560113200343;1893.560113202238;1893.560113202238;1893.560113202238;1893.560113202238;1893.560113202238;1893.560113202237;1893.560113202238;1893.560113202238;1893.560113200343;1927.624157566722;1927.624157568650;1927.624157566722;1927.624157566722;1899.509906129974;1899.582538033823;1899.582538035722;1899.582538035722;1953.471980825411;1953.471980825411;1953.471980825411;1953.471980825411;1927.624157566722;1927.624157566722;1927.624157566722;1927.624157566722;1899.509906129974;1899.582538035722;1899.582538035722;1899.582538035722;1953.471980825411;1953.471980825411;1953.471980825411;1953.471980825411;1927.624157566722;1927.624157566722;1927.624157566722;1927.624157566722;1899.509906129974;1899.582538035722;1899.582538035722;1899.582538035722;1953.471980825411;1953.471980825411;1953.471980825411;1953.471980825411;1927.624157566722;1927.624157566722;1927.624157566722;1927.624157566722;1899.509906129974;1899.582538035722;1899.582538035722;
6;vazao_defluente_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;vazao_defluente_maxima_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
7;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;potencia_maxima_media;424;424.000000000424;424.000000000424;424;423.999999999576;424;424.000000000424;423.999999999576;424;424;424;424;424;424;424;424;423.999999999576;424;424.000000000424;424;424;424;423.999999999576;424;424;424;424;424;424;424;424;424;424;424;424;424;424;424;424;424;424;424;424;424;424;424;424;424.000000000000;424;424;424.000000000000;424;424;424;424;424;424;424;424;424;
7;potencia_disponivel_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;potencia_disponivel_maxima_media;390.928000000000;390.928000000391;390.928000000391;390.928000000000;390.927999999609;372.272000000000;381.176000000381;381.175999999619;381.176000000000;381.176000000000;381.176000000000;381.176000000000;381.176000000000;381.176000000000;381.176000000000;381.176000000000;381.175999999619;352.344000000000;352.344000000352;352.344000000000;352.344000000000;352.344000000000;352.343999999648;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;352.344000000000;
7;vazao_turbinada_disponivel_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;vazao_turbinada_disponivel_maxima_media;967.023943512819;987.753076627128;987.753076627128;987.753076626140;987.753076625152;940.615185767625;963.112815496516;963.112815494590;963.112815495553;963.112815495553;963.112815495552;963.112815495552;963.112815495553;963.112815495553;963.112815495553;963.112815495553;963.112815494590;890.263347805122;890.263347806011;890.263347805121;890.263347805121;890.263347805121;890.263347804231;890.263347805121;890.263347805121;890.827029753030;890.827029753030;890.827029753030;890.827029753030;890.263347805122;890.263347805121;890.263347805121;890.263347805121;890.263347805121;890.263347805121;890.263347805121;890.263347805121;890.827029753030;890.827029753030;890.827029753030;890.827029753030;890.263347805122;890.263347805121;890.263347805121;890.263347805121;890.263347805121;890.263347805121;890.263347805121;890.263347805121;890.827029753030;890.827029753030;890.827029753030;890.827029753030;890.263347805122;890.263347805121;890.263347805121;890.263347805121;890.263347805121;890.263347805121;890.263347805121;
7;vazao_defluente_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;vazao_defluente_maxima_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
8;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;potencia_maxima_media;210;210.000000000210;210.000000000210;210;209.999999999790;210;210.000000000210;209.999999999790;210;210;210;210;210;210;210;210;209.999999999790;210;210.000000000210;210;210;210;209.999999999790;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;210;
