idIntercambio;AttVetor;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021;09/2021;10/2021;11/2021;12/2021;01/2022;02/2022;03/2022;04/2022;05/2022;06/2022;07/2022;08/2022;09/2022;10/2022;11/2022;12/2022;01/2023;02/2023;03/2023;04/2023;05/2023;06/2023;07/2023;08/2023;09/2023;10/2023;11/2023;12/2023;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024;
13;potencia_maxima_media;4000;4000.000000004000;4000.000000004000;4000;3999.999999996000;4000;4000.000000004000;3999.999999996000;4000;4000;4000;4000;4000;4000;4000;4000;3999.999999996000;4000.000000000000;4000.000000004000;4000;4000;4000;3999.999999996000;4000;4000;99999;99999;99999;2864.978111400000;2956.996155900000;3693;3693;3693;3693;4623;4623;4623;4623;4623;4623;4993;4993;4993;4993;4993;4993;4623;4623;4623;4623;4623;4623;4993;4993;4993;4993;4993;4993;4623;4623;
14;potencia_maxima_media;1300;1300.000000001300;1300.000000001300;1252.469135802400;1305.555555554200;1000;1000.000000001000;1299.999999998700;1300;2000;2000;2000;2000;2000;2000;2000;1999.999999998000;3300;3300.000000003300;3300;3300;3300;3299.999999996700;3300;3300;3300;3300;3300;3300;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;4700;6000;6000;6000;6000;6000;6000;
15;potencia_maxima_media;2000;2000.000000002000;2000.000000002000;2000;1999.999999998000;2000;2000.000000002000;1999.999999998000;2000;2500;2500;2500;2500;2218.206521739200;2225;2151.785714285600;2130.846774191400;3500;3500.000000003500;3500;4500;4500;4799.999999995200;4500;3495.161290322600;3500;3511.111111111400;3486.206896551800;5200;6300;6900;6900;6900;6900;6900;6900;6900;6900;6900;6900;6900;6900;6900;6900;6900;7200;7200;7200;7200;7200;7200;7200;7200;7200;7988.817051900001;7982.986907880000;7948.920589490001;7955.264742400000;7906.116218200001;7906.005376080000;
16;potencia_maxima_media;6000;6000.000000006001;6493.333333340001;8000;7999.999999992000;8000;8000.000000008000;5533.602150532000;5493.589743590001;6000;6000;6000;6000;8000;8000;8000;7999.999999992000;6173.076923077000;5344.827586212000;5000;5000;5000;7999.999999992001;5000;8000;8000;8000;8000;8000;6954.097077840000;4000.000000000000;3000;3000;3000;6610.988893520000;7618.159673280000;8000;8000;8000;8000;8000;8000;6669.016672500000;5686.061977400001;5639.073758120000;5641.066450980000;6610.988893520000;7608.243988560001;8000;8000;8000;8000;7999.999999999999;8000;6686.091598200000;5677.127164800000;5646.087230700001;5655.138208200000;6610.988893520000;7613.095010240000;
17;potencia_maxima_media;3270;3270.000000003270;3270.000000003270;2500;2499.999999997500;2500;2500.000000002500;2499.999999997500;2500;2500;2500;2500;2500;2500;2500;2500;2499.999999997500;2500;2500.000000002500;2500;2500;2500;2499.999999997500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;
1;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;potencia_minima_media;4114.619047619115;3914.514367820280;3758.520000003838;3656.067901234357;3516.944444440835;3533.939999999875;3567.803571432137;3549.393817200713;3585.564102564206;3749.991379310246;3902.833333333270;3953.402777777713;4186.986111111039;4282.391304348106;3810.769230769219;3616.339285714132;3508.990591394303;3623.368589743727;3622.747126440389;2394.125000000000;2501.500000000000;2527.958333333329;2615.184999997326;2627.321428571365;2531.685483870974;2771.999999999986;2759.259259259500;2518.913793103441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;potencia_minima_media;0;1680.000000001680;1680.000000001680;1680;1679.999999998320;1680;1680.000000001680;1679.999999998320;1680;1680;1680;1680;1680;1680;1680;1680;1679.999999998320;1680;1680.000000001680;2000;2000;2000;1999.999999998000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
