idIntercambio;AttVetor;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021;09/2021;10/2021;11/2021;12/2021;01/2022;02/2022;03/2022;04/2022;05/2022;06/2022;07/2022;08/2022;09/2022;10/2022;11/2022;12/2022;01/2023;02/2023;03/2023;04/2023;05/2023;06/2023;07/2023;08/2023;09/2023;10/2023;11/2023;12/2023;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024;
1;potencia_maxima_media;9139.285714285499;7547.413793110900;7608.000000007200;6192.592592592400;5922.222222216100;5910.666666666400;5942.857142863100;8786.962365582500;9240.384615385001;10796.551724137800;10791.666666666599;10900;8266.666666666999;6156.521739129999;6400;5461.309523808800;8142.741935475800;9909.294871794500;11591.954023000200;11596.500000000000;11550;11016.388888888900;11076.666666655801;9439.285714285499;7439.516129032101;7438.888888889200;8198.765432097900;8735.057471264299;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;
2;potencia_maxima_media;9161.666666666501;9184.080459779121;9174.666666675719;7120;9053.333333324281;9320;9320.000000009321;9049.032258055480;9102.051282051201;9101.609195402401;8931.111111111200;8931.111111111200;8931.111111111200;9201.702898550400;8420;9067.023809523998;9053.198924722179;8649.166666666501;8649.885057479920;8286;8300;8231.944444444500;8606.666666658000;6500;6500;6500;6500;6500;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;
3;potencia_maxima_media;10841.666666666501;10864.080459780802;10854.666666677400;8800;10733.333333322600;11000;11000.000000011001;10729.032258053800;10782.051282051201;10781.609195402401;10611.111111111200;10611.111111111200;10611.111111111200;10881.702898550400;10100;10747.023809524000;10733.198924720500;10329.166666666501;10329.885057481601;10286;10300;10231.944444444500;10606.666666656001;10500;10500;10500;10500;10500;10188.006112800000;10188.988792100001;10825.741042079999;11788.186486160001;11834.753003549999;11859.640879200000;11850;11831.163859349999;11831.163859349999;11844.936036999999;11815.865770240000;11880.286783200001;11804.162895199999;11809.118562359999;11819.917732800001;11788.186486160001;11850;11844.876811999999;11850;11859.550861800000;11831.163859349999;11840.307839999998;11859.550861800000;11820.097633199999;11819.917732800001;11825.497004749999;11788.186486160001;11804.162895199999;11834.753003549999;11815.865770239998;11850;11844.876812000000;
4;potencia_maxima_media;6646.428571428500;6656.034482765201;6652.000000006599;6148.148148148101;6699.999999993301;6800;6800.000000006799;6698.387096767500;6718.269230769200;6718.103448275901;6654.166666666699;6654.166666666699;6654.166666666699;6663.586956521600;6650;6648.214285714400;6698.387096767500;6696.153846153800;6696.551724144700;6698;6716.666666666600;6655.000000000100;6658.499999993401;6646.428571428500;6652.419354838700;7350;6644.444444444300;7389.080459769900;4428.998494140000;5393.153916220001;6786.947197140000;7509.120744719999;7569.985919800000;7817.075668560000;7800;7765.774786000000;7765.774786000000;7789.747604000000;7739.830339200000;7852.894298620000;7717.827888600000;7726.728164140000;7746.089853600000;7689.802674600000;7800;7790.928634439999;7800;7816.915732740000;7765.774786000000;7782.277039200000;7816.915732740000;7746.996591319999;7746.089853600000;7756.275260439999;7689.802674600000;7717.827888600000;7773.089156309999;7739.830339200000;7800;7790.928634440000;
5;potencia_maxima_media;99999;99999.000000100001;99999.000000100001;99999;99998.999999899999;99999;99999.000000100001;99998.999999899999;99999;99999;99999;99999;99999;99999;99999;99999;99998.999999899999;99999;99999.000000100001;99999;99999;99999;99998.999999899999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;
6;potencia_maxima_media;4114.619047619115;7000.000000006999;7000.000000006999;7000;6999.999999993001;7000;7000.000000006999;6999.999999993001;7000;7000.000000000001;7000;7000;7000;7000;7000;7000;6999.999999993001;7000;7000.000000006999;7000;7000;7000;6999.999999993001;7000;7000;7000;7000;7000;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;
7;potencia_maxima_media;99999;7000.000000006999;7000.000000006999;7000;6999.999999993001;7000;7000.000000006999;6999.999999993001;7000;7000.000000000001;7000;7000;7000;7000;7000;7000;6999.999999993001;7000;7000.000000006999;7000;7000;7000;6999.999999993001;7000;7000;7000;7000;7000;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;
8;potencia_maxima_media;99999;99999.000000100001;99999.000000100001;99999;99998.999999899999;99999;99999.000000100001;99998.999999899999;99999;99999;99999;99999;99999;99999;99999;99999;99998.999999899999;99999;99999.000000100001;99999;99999;99999;99998.999999899999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;
9;potencia_maxima_media;99999;99999.000000100001;99999.000000100001;99999;99998.999999899999;99999;99999.000000100001;99998.999999899999;99999;99999;99999;99999;99999;99999;99999;99999;99998.999999899999;99999;99999.000000100001;99999;99999;99999;99998.999999899999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;
10;potencia_maxima_media;4500;4500.000000004500;4500.000000004500;4500;4499.999999995500;4500;4500.000000004500;4499.999999995500;4500;4500;4500;4500;4500;4500;4500;4500;4499.999999995500;4500;4500.000000004500;4500;4500;4500;4999.999999995001;4500;5000;5000;6000;6000;6000;6000;6000;6000;6000;6000;6400;6400;6400;6400;6400;6400;6400;6400;6400;6400;6400;6612.862118950000;6588.917901060000;6585.855634880000;6594.746883899999;6591.702898560001;6585.855634880000;6621.723465280000;6635.156652350001;6632.986667670000;6773.875358400001;6771.014083680000;6758.231934560000;6762.124758900000;6743.995548960000;6745.042223700000;
11;potencia_maxima_media;5500;5500.000000005501;5500.000000005501;5500;5499.999999994499;5500;5500.000000005501;5499.999999994500;5500;5500;5500;5500;5500;5500;5500;5500;5499.999999994500;5500;5500.000000005500;5500;5500;5500;5499.999999994500;5500;5500;5500;5500;5500;5500;5500;5500;5500;5500;5500;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800.000000000001;7800;7800;7800.000000000001;7800;7800;7800;7800;7800;7800;7800;7800;7800;
12;potencia_maxima_media;4000;4000.000000004000;4000.000000004000;4000;3999.999999996000;4000;4000.000000004000;3999.999999996000;4000;4000;4000;4000;4000;4000;4000;4000;3999.999999996000;4000.000000000000;4000.000000004000;4000;4000;4000;3999.999999996000;4000;4000;4000;4000;4000;4000;4000;4000.000000000000;4000;4000;4000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;
