idVariavelAleatoria;AttMatriz;Iteradores;1;2;3;;
1;coeficiente_linear_auto_correlacao;01/2020;1.051098707862;;;;
1;coeficiente_linear_auto_correlacao;02/2020;0.566815369855;;;;
1;coeficiente_linear_auto_correlacao;03/2020;0.525140283702;;;;
1;coeficiente_linear_auto_correlacao;04/2020;0.398486858537;0.178050565430;;;
1;coeficiente_linear_auto_correlacao;05/2020;0.351629319231;0.079686370823;0.079870394654;;
1;coeficiente_linear_auto_correlacao;06/2020;0.826897434990;;;;
1;coeficiente_linear_auto_correlacao;07/2020;0.449274629132;0.216603463300;;;
1;coeficiente_linear_auto_correlacao;08/2020;0.715993336612;;;;
1;coeficiente_linear_auto_correlacao;09/2020;0.899889003567;0.293500371808;;;
1;coeficiente_linear_auto_correlacao;10/2020;0.492271310263;0.092787856573;0.569594715465;;
1;coeficiente_linear_auto_correlacao;11/2020;0.866618016361;;;;
1;coeficiente_linear_auto_correlacao;12/2020;0.968301381200;;;;
1;coeficiente_linear_auto_correlacao;01/2021;1.051098707862;;;;
1;coeficiente_linear_auto_correlacao;02/2021;0.566815369855;;;;
1;coeficiente_linear_auto_correlacao;03/2021;0.525140283702;;;;
1;coeficiente_linear_auto_correlacao;04/2021;0.398486858537;0.178050565430;;;
1;coeficiente_linear_auto_correlacao;05/2021;0.351629319231;0.079686370823;0.079870394654;;
1;coeficiente_linear_auto_correlacao;06/2021;0.826897434990;;;;
1;coeficiente_linear_auto_correlacao;07/2021;0.449274629132;0.216603463300;;;
1;coeficiente_linear_auto_correlacao;08/2021;0.715993336612;;;;
1;coeficiente_linear_auto_correlacao;09/2021;0.899889003567;0.293500371808;;;
1;coeficiente_linear_auto_correlacao;10/2021;0.492271310263;0.092787856573;0.569594715465;;
1;coeficiente_linear_auto_correlacao;11/2021;0.866618016361;;;;
1;coeficiente_linear_auto_correlacao;12/2021;0.968301381200;;;;
1;coeficiente_linear_auto_correlacao;01/2022;1.051098707862;;;;
1;coeficiente_linear_auto_correlacao;02/2022;0.566815369855;;;;
1;coeficiente_linear_auto_correlacao;03/2022;0.525140283702;;;;
1;coeficiente_linear_auto_correlacao;04/2022;0.398486858537;0.178050565430;;;
1;coeficiente_linear_auto_correlacao;05/2022;0.351629319231;0.079686370823;0.079870394654;;
1;coeficiente_linear_auto_correlacao;06/2022;0.826897434990;;;;
1;coeficiente_linear_auto_correlacao;07/2022;0.449274629132;0.216603463300;;;
1;coeficiente_linear_auto_correlacao;08/2022;0.715993336612;;;;
1;coeficiente_linear_auto_correlacao;09/2022;0.899889003567;0.293500371808;;;
1;coeficiente_linear_auto_correlacao;10/2022;0.492271310263;0.092787856573;0.569594715465;;
1;coeficiente_linear_auto_correlacao;11/2022;0.866618016361;;;;
1;coeficiente_linear_auto_correlacao;12/2022;0.968301381200;;;;
1;coeficiente_linear_auto_correlacao;01/2023;1.051098707862;;;;
1;coeficiente_linear_auto_correlacao;02/2023;0.566815369855;;;;
1;coeficiente_linear_auto_correlacao;03/2023;0.525140283702;;;;
1;coeficiente_linear_auto_correlacao;04/2023;0.398486858537;0.178050565430;;;
1;coeficiente_linear_auto_correlacao;05/2023;0.351629319231;0.079686370823;0.079870394654;;
1;coeficiente_linear_auto_correlacao;06/2023;0.826897434990;;;;
1;coeficiente_linear_auto_correlacao;07/2023;0.449274629132;0.216603463300;;;
1;coeficiente_linear_auto_correlacao;08/2023;0.715993336612;;;;
1;coeficiente_linear_auto_correlacao;09/2023;0.899889003567;0.293500371808;;;
1;coeficiente_linear_auto_correlacao;10/2023;0.492271310263;0.092787856573;0.569594715465;;
1;coeficiente_linear_auto_correlacao;11/2023;0.866618016361;;;;
1;coeficiente_linear_auto_correlacao;12/2023;0.968301381200;;;;
1;coeficiente_linear_auto_correlacao;01/2024;1.051098707862;;;;
1;coeficiente_linear_auto_correlacao;02/2024;0.566815369855;;;;
1;coeficiente_linear_auto_correlacao;03/2024;0.525140283702;;;;
1;coeficiente_linear_auto_correlacao;04/2024;0.398486858537;0.178050565430;;;
1;coeficiente_linear_auto_correlacao;05/2024;0.351629319231;0.079686370823;0.079870394654;;
1;coeficiente_linear_auto_correlacao;06/2024;0.826897434990;;;;
1;coeficiente_linear_auto_correlacao;07/2024;0.449274629132;0.216603463300;;;
1;coeficiente_linear_auto_correlacao;08/2024;0.715993336612;;;;
1;coeficiente_linear_auto_correlacao;09/2024;0.899889003567;0.293500371808;;;
1;coeficiente_linear_auto_correlacao;10/2024;0.492271310263;0.092787856573;0.569594715465;;
1;coeficiente_linear_auto_correlacao;11/2024;0.866618016361;;;;
1;coeficiente_linear_auto_correlacao;12/2024;0.968301381200;;;;
2;coeficiente_linear_auto_correlacao;01/2020;0.649123375668;;;;
2;coeficiente_linear_auto_correlacao;02/2020;0.767639178620;;;;
2;coeficiente_linear_auto_correlacao;03/2020;0.506686573110;;;;
2;coeficiente_linear_auto_correlacao;04/2020;0.552552505404;;;;
2;coeficiente_linear_auto_correlacao;05/2020;0.487970455735;;;;
2;coeficiente_linear_auto_correlacao;06/2020;0.676724134280;;;;
2;coeficiente_linear_auto_correlacao;07/2020;0.491190318824;0.203363019372;;;
2;coeficiente_linear_auto_correlacao;08/2020;1.042559319058;-0.179020750326;;;
2;coeficiente_linear_auto_correlacao;09/2020;0.977786393944;;;;
2;coeficiente_linear_auto_correlacao;10/2020;0.563674818178;0.419765282165;;;
2;coeficiente_linear_auto_correlacao;11/2020;1.388640459879;0.189339631969;-1.047597945767;;
2;coeficiente_linear_auto_correlacao;12/2020;0.760667966143;0.621594892364;;;
2;coeficiente_linear_auto_correlacao;01/2021;0.649123375668;;;;
2;coeficiente_linear_auto_correlacao;02/2021;0.767639178620;;;;
2;coeficiente_linear_auto_correlacao;03/2021;0.506686573110;;;;
2;coeficiente_linear_auto_correlacao;04/2021;0.552552505404;;;;
2;coeficiente_linear_auto_correlacao;05/2021;0.487970455735;;;;
2;coeficiente_linear_auto_correlacao;06/2021;0.676724134280;;;;
2;coeficiente_linear_auto_correlacao;07/2021;0.491190318824;0.203363019372;;;
2;coeficiente_linear_auto_correlacao;08/2021;1.042559319058;-0.179020750326;;;
2;coeficiente_linear_auto_correlacao;09/2021;0.977786393944;;;;
2;coeficiente_linear_auto_correlacao;10/2021;0.563674818178;0.419765282165;;;
2;coeficiente_linear_auto_correlacao;11/2021;1.388640459879;0.189339631969;-1.047597945767;;
2;coeficiente_linear_auto_correlacao;12/2021;0.760667966143;0.621594892364;;;
2;coeficiente_linear_auto_correlacao;01/2022;0.649123375668;;;;
2;coeficiente_linear_auto_correlacao;02/2022;0.767639178620;;;;
2;coeficiente_linear_auto_correlacao;03/2022;0.506686573110;;;;
