idSubmercado;AttMatriz;Iteradores;1;2;3
8;demanda;09/2022;0;0;0
1;demanda;10/2022;48959.734299999996;46067.454100000003;37872.660199999998
2;demanda;10/2022;14390.591200000001;13076.083199999999;10073.532800000001
3;demanda;10/2022;13300.124999999998;12982.145000000002;11342.102000000001
4;demanda;10/2022;7362.251100000000;7306.864200000000;6698.309400000000
5;demanda;10/2022;0;0;0
6;demanda;10/2022;0;0;0
7;demanda;10/2022;0;0;0
8;demanda;10/2022;0;0;0
1;demanda;11/2022;48414.886500000001;46328.221500000007;37913.425499999998
2;demanda;11/2022;14628.193799999999;13513.676400000000;10458.846600000001
3;demanda;11/2022;13379.449999999999;13149.199000000001;11640.743800000000
4;demanda;11/2022;7314.344999999999;7334.839300000001;6808.347800000000
5;demanda;11/2022;0;0;0
6;demanda;11/2022;0;0;0
7;demanda;11/2022;0;0;0
8;demanda;11/2022;0;0;0
1;demanda;12/2022;48162.907800000001;46309.498199999995;38273.766300000003
2;demanda;12/2022;14689.227800000001;13448.410999999998;10764.957800000000
3;demanda;12/2022;13158.663800000000;12881.418800000001;11575.286800000000
4;demanda;12/2022;7248.500000000001;7230.999999999999;6739.600000000000
5;demanda;12/2022;0;0;0
6;demanda;12/2022;0;0;0
7;demanda;12/2022;0;0;0
8;demanda;12/2022;0;0;0
1;demanda;01/2023;51342.007999999994;49025.040000000001;40553.768000000004
2;demanda;01/2023;16271.621100000000;14852.384100000001;11907.811799999999
3;demanda;01/2023;13115.891600000001;13074.912199999999;11681.612600000000
4;demanda;01/2023;6930.825000000000;7000.607500000001;6563.620000000000
5;demanda;01/2023;0;0;0
6;demanda;01/2023;0;0;0
7;demanda;01/2023;0;0;0
8;demanda;01/2023;0;0;0
1;demanda;02/2023;53097.082399999999;49691.168800000007;41218.033200000005
2;demanda;02/2023;16851.621599999999;15004.483999999999;12198.687599999999
3;demanda;02/2023;13380.930500000000;12976.490800000001;11407.904000000000
4;demanda;02/2023;7213.388000000000;7204.397200000000;6616.537200000000
5;demanda;02/2023;0;0;0
6;demanda;02/2023;0;0;0
7;demanda;02/2023;0;0;0
8;demanda;02/2023;0;0;0
1;demanda;03/2023;52295.694999999992;49313.539999999994;40445.190000000002
2;demanda;03/2023;15993.062400000001;14378.739200000000;11415.571200000000
3;demanda;03/2023;13328.515200000000;12910.312800000000;11289.012000000001
4;demanda;03/2023;7382.861999999999;7322.335200000000;6674.839200000000
5;demanda;03/2023;0;0;0
6;demanda;03/2023;0;0;0
7;demanda;03/2023;0;0;0
8;demanda;03/2023;0;0;0
1;demanda;04/2023;51093.037199999999;48129.321600000003;39686.281499999997
2;demanda;04/2023;15735.389999999999;13982.749000000000;10930.339200000000
3;demanda;04/2023;13284.028800000000;12908.589599999999;11164.185599999999
4;demanda;04/2023;7454.634899999999;7357.348800000000;6639.951300000000
5;demanda;04/2023;0;0;0
6;demanda;04/2023;0;0;0
7;demanda;04/2023;0;0;0
8;demanda;04/2023;0;0;0
1;demanda;05/2023;47726.116200000004;43653.721999999994;36425.536199999995
2;demanda;05/2023;14296.494900000002;12872.498100000001;9863.342700000001
3;demanda;05/2023;12929.603400000000;12385.048199999999;10967.532799999999
4;demanda;05/2023;7477.919800000000;7124.210600000000;6670.448200000000
5;demanda;05/2023;0;0;0
6;demanda;05/2023;0;0;0
7;demanda;05/2023;0;0;0
8;demanda;05/2023;0;0;0
1;demanda;06/2023;46893.248000000007;42962.175999999999;35877.200000000004
2;demanda;06/2023;14404.425600000000;13060.643200000000;9971.641600000001
3;demanda;06/2023;12329.965700000001;11852.876000000000;10578.348599999999
4;demanda;06/2023;7341.285000000000;7013.245000000001;6621.265000000000
5;demanda;06/2023;0;0;0
6;demanda;06/2023;0;0;0
7;demanda;06/2023;0;0;0
8;demanda;06/2023;0;0;0
1;demanda;07/2023;46679.577000000005;42870.164599999996;35634.728199999998
2;demanda;07/2023;14522.183999999999;13087.176000000001;9971.124000000000
3;demanda;07/2023;12109.361999999999;11673.604200000000;10346.167200000000
4;demanda;07/2023;7169.932800000000;6927.371999999999;6589.568400000000
5;demanda;07/2023;0;0;0
6;demanda;07/2023;0;0;0
7;demanda;07/2023;0;0;0
8;demanda;07/2023;0;0;0
1;demanda;08/2023;47404.884599999998;43406.480000000003;36098.331299999998
2;demanda;08/2023;14297.035500000002;12949.081199999999;9847.454100000001
3;demanda;08/2023;12417.733899999999;11925.360200000001;10587.764200000000
4;demanda;08/2023;7448.944000000000;7137.088000000000;6829.504000000001
5;demanda;08/2023;0;0;0
6;demanda;08/2023;0;0;0
7;demanda;08/2023;0;0;0
8;demanda;08/2023;0;0;0
1;demanda;09/2023;49266.248200000002;46633.305200000003;38229.469100000002
2;demanda;09/2023;14438.405999999999;13234.203000000001;10156.929000000000
3;demanda;09/2023;12860.393000000000;12549.263999999999;10938.018000000000
4;demanda;09/2023;7598.920500000000;7527.294000000000;6902.913500000000
5;demanda;09/2023;0;0;0
6;demanda;09/2023;0;0;0
7;demanda;09/2023;0;0;0
8;demanda;09/2023;0;0;0
1;demanda;10/2023;50426.768700000001;47463.078600000001;38845.037700000001
2;demanda;10/2023;14882.675999999999;13547.796000000000;10384.871999999999
3;demanda;10/2023;13506.108000000002;13181.424000000001;11497.048000000001
4;demanda;10/2023;7575.412500000000;7524.837500000001;6889.760000000000
5;demanda;10/2023;0;0;0
6;demanda;10/2023;0;0;0
7;demanda;10/2023;0;0;0
8;demanda;10/2023;0;0;0
1;demanda;11/2023;49990.629900000000;47836.050900000002;39147.381300000001
2;demanda;11/2023;15197.347000000000;14039.466000000000;10865.779000000000
3;demanda;11/2023;13609.500000000000;13375.289999999999;11840.898000000001
4;demanda;11/2023;7473.735000000000;7494.675900000000;6956.711400000000
5;demanda;11/2023;0;0;0
6;demanda;11/2023;0;0;0
7;demanda;11/2023;0;0;0
8;demanda;11/2023;0;0;0
1;demanda;12/2023;50162.121000000006;48119.660500000005;39790.320500000002
2;demanda;12/2023;15501.831099999999;14111.752900000001;11238.406900000000
3;demanda;12/2023;13467.961799999999;13172.182999999999;11796.059600000001
4;demanda;12/2023;7290.141299999999;7263.537500000000;6738.462500000001
5;demanda;12/2023;0;0;0
6;demanda;12/2023;0;0;0
7;demanda;12/2023;0;0;0
8;demanda;12/2023;0;0;0
1;demanda;01/2024;52951.703999999998;50538.833800000000;41830.907299999999
2;demanda;01/2024;16803.443899999998;15335.403000000000;12318.158900000000
3;demanda;01/2024;13586.859000000000;13545.674999999999;12113.244000000001
4;demanda;01/2024;7180.436999999999;7250.626999999999;6801.411000000000
5;demanda;01/2024;0;0;0
6;demanda;01/2024;0;0;0
7;demanda;01/2024;0;0;0
8;demanda;01/2024;0;0;0
1;demanda;02/2024;54573.544999999998;51123.684999999998;42389.439999999995
2;demanda;02/2024;17381.341499999999;15481.186499999998;12588.889499999999
3;demanda;02/2024;13853.475999999999;13438.152000000000;11813.802000000000
4;demanda;02/2024;7446.519000000000;7437.945000000000;6834.192500000000
5;demanda;02/2024;0;0;0
6;demanda;02/2024;0;0;0
7;demanda;02/2024;0;0;0
8;demanda;02/2024;0;0;0
1;demanda;03/2024;54796.942799999997;51403.532400000004;42123.787199999999
2;demanda;03/2024;16876.608000000000;15043.459200000001;11946.643200000000
3;demanda;03/2024;13965.748000000000;13500.562000000000;11756.750000000000
4;demanda;03/2024;7669.382700000001;7593.972299999999;6890.625300000001
5;demanda;03/2024;0;0;0
6;demanda;03/2024;0;0;0
7;demanda;03/2024;0;0;0
8;demanda;03/2024;0;0;0
1;demanda;04/2024;51705.409999999996;48850.173200000005;40353.098299999998
2;demanda;04/2024;15740.922600000002;14147.792100000001;11118.860999999999
3;demanda;04/2024;13565.677300000001;13221.624800000000;11473.838100000001
4;demanda;04/2024;7589.187600000000;7518.510000000000;6815.339999999999
5;demanda;04/2024;0;0;0
6;demanda;04/2024;0;0;0
7;demanda;04/2024;0;0;0
8;demanda;04/2024;0;0;0
1;demanda;05/2024;49514.299200000001;45310.417800000003;37649.340299999996
2;demanda;05/2024;14914.799999999999;13394.733300000002;10220.366700000000
