idRestricaoEletrica;idElementoSistema;tipo_elemento;unidadehidraulica;conjuntohidraulico;hidreletrica;termeletrica;demandaEspecial;unidadeTermeletrica;contrato;intercambio;eolica;usina_elevatoria;tipoVariavelRestricaoOperativa;fator_participacao
9;14;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;9;Nenhum;Nenhum;Nenhum;0
10;1;hidreletrica;Nenhum;Nenhum;125;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;2;hidreletrica;Nenhum;Nenhum;144;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;3;hidreletrica;Nenhum;Nenhum;147;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;4;hidreletrica;Nenhum;Nenhum;150;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;5;hidreletrica;Nenhum;Nenhum;152;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;6;hidreletrica;Nenhum;Nenhum;154;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;7;termeletrica;Nenhum;Nenhum;Nenhum;90;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;8;termeletrica;Nenhum;Nenhum;Nenhum;99;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;9;termeletrica;Nenhum;Nenhum;Nenhum;91;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;10;termeletrica;Nenhum;Nenhum;Nenhum;85;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;11;termeletrica;Nenhum;Nenhum;Nenhum;86;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;12;termeletrica;Nenhum;Nenhum;Nenhum;87;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;13;termeletrica;Nenhum;Nenhum;Nenhum;98;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;14;termeletrica;Nenhum;Nenhum;Nenhum;88;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;15;termeletrica;Nenhum;Nenhum;Nenhum;89;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;16;termeletrica;Nenhum;Nenhum;Nenhum;100;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;17;termeletrica;Nenhum;Nenhum;Nenhum;105;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;18;termeletrica;Nenhum;Nenhum;Nenhum;104;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;19;termeletrica;Nenhum;Nenhum;Nenhum;103;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;20;termeletrica;Nenhum;Nenhum;Nenhum;106;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;21;termeletrica;Nenhum;Nenhum;Nenhum;107;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;22;termeletrica;Nenhum;Nenhum;Nenhum;108;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
10;23;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;17;Nenhum;Nenhum;Nenhum;0
10;24;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;16;Nenhum;Nenhum;Nenhum;0
11;1;hidreletrica;Nenhum;Nenhum;18;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
12;1;hidreletrica;Nenhum;Nenhum;19;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
13;1;hidreletrica;Nenhum;Nenhum;27;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
14;1;hidreletrica;Nenhum;Nenhum;17;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
15;1;hidreletrica;Nenhum;Nenhum;39;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
16;1;hidreletrica;Nenhum;Nenhum;37;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
17;1;hidreletrica;Nenhum;Nenhum;40;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
18;1;hidreletrica;Nenhum;Nenhum;41;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
19;1;hidreletrica;Nenhum;Nenhum;42;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
20;1;hidreletrica;Nenhum;Nenhum;44;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
21;1;hidreletrica;Nenhum;Nenhum;45;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
22;1;hidreletrica;Nenhum;Nenhum;46;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
23;1;hidreletrica;Nenhum;Nenhum;24;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
24;1;hidreletrica;Nenhum;Nenhum;16;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
25;1;hidreletrica;Nenhum;Nenhum;14;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
26;1;hidreletrica;Nenhum;Nenhum;82;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
27;1;hidreletrica;Nenhum;Nenhum;139;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
28;1;hidreletrica;Nenhum;Nenhum;138;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
29;1;hidreletrica;Nenhum;Nenhum;149;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
30;1;hidreletrica;Nenhum;Nenhum;23;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
31;1;hidreletrica;Nenhum;Nenhum;144;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
32;1;hidreletrica;Nenhum;Nenhum;75;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
33;1;hidreletrica;Nenhum;Nenhum;76;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
34;1;hidreletrica;Nenhum;Nenhum;77;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
35;1;hidreletrica;Nenhum;Nenhum;78;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
36;1;hidreletrica;Nenhum;Nenhum;142;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
37;1;hidreletrica;Nenhum;Nenhum;146;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
38;1;hidreletrica;Nenhum;Nenhum;58;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
39;1;hidreletrica;Nenhum;Nenhum;20;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
40;1;hidreletrica;Nenhum;Nenhum;130;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
41;1;hidreletrica;Nenhum;Nenhum;38;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
42;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;15;Nenhum;Nenhum;Nenhum;0
43;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;11;Nenhum;Nenhum;Nenhum;0
44;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;10;Nenhum;Nenhum;Nenhum;0
45;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;12;Nenhum;Nenhum;Nenhum;0
46;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;13;Nenhum;Nenhum;Nenhum;0
47;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;14;Nenhum;Nenhum;Nenhum;0
48;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;4;Nenhum;Nenhum;Nenhum;0
49;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;3;Nenhum;Nenhum;Nenhum;0
50;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;1;Nenhum;Nenhum;Nenhum;0
51;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;2;Nenhum;Nenhum;Nenhum;0
52;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;17;Nenhum;Nenhum;Nenhum;0
53;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;16;Nenhum;Nenhum;Nenhum;0
54;1;hidreletrica;Nenhum;Nenhum;47;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
55;1;hidreletrica;Nenhum;Nenhum;97;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
56;1;hidreletrica;Nenhum;Nenhum;154;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
57;1;hidreletrica;Nenhum;Nenhum;34;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
58;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;6;Nenhum;Nenhum;Nenhum;0
59;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;7;Nenhum;Nenhum;Nenhum;0
60;1;hidreletrica;Nenhum;Nenhum;47;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
61;1;hidreletrica;Nenhum;Nenhum;125;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
61;2;hidreletrica;Nenhum;Nenhum;144;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
61;3;hidreletrica;Nenhum;Nenhum;147;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
61;4;hidreletrica;Nenhum;Nenhum;150;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
61;5;hidreletrica;Nenhum;Nenhum;152;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
61;6;hidreletrica;Nenhum;Nenhum;154;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
61;7;termeletrica;Nenhum;Nenhum;Nenhum;90;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
61;8;termeletrica;Nenhum;Nenhum;Nenhum;91;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
61;9;termeletrica;Nenhum;Nenhum;Nenhum;85;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
61;10;termeletrica;Nenhum;Nenhum;Nenhum;86;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
61;11;termeletrica;Nenhum;Nenhum;Nenhum;87;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
61;12;termeletrica;Nenhum;Nenhum;Nenhum;88;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
61;13;termeletrica;Nenhum;Nenhum;Nenhum;89;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
61;14;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;17;Nenhum;Nenhum;Nenhum;0
61;15;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;16;Nenhum;Nenhum;Nenhum;0
62;1;hidreletrica;Nenhum;Nenhum;137;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
62;2;hidreletrica;Nenhum;Nenhum;138;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
62;3;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;13;Nenhum;Nenhum;Nenhum;0
62;4;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;15;Nenhum;Nenhum;Nenhum;0
63;1;hidreletrica;Nenhum;Nenhum;132;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;1;hidreletrica;Nenhum;Nenhum;140;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;2;hidreletrica;Nenhum;Nenhum;141;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
