idHidreletrica;nome;codigo_usina;codigo_posto;submercado;bacia;considerar_usina;representacao_discreta_producao;jusante;jusante_desvio;tempo_viagem_agua;vertimento_maximo;penalidade_afluencia_incremental;penalidade_vertimento;penalidade_turbinamento;penalidade_desvio_agua;penalidade_turbinamento_minimo;penalidade_vazao_defluente_minima;penalidade_vazao_defluente_maxima;penalidade_vazao_desviada_minima;penalidade_volume_minimo;penalidade_potencia_minima;tipo_detalhamento_producao;penalidade_evaporacao;penalidade_volume_util_minimo;penalidade_vazao_retirada
126;SALTO PILAO;215;101;2;17;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
127;ROSAL;217;196;1;4;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
128;SINOP;227;227;1;18;1;0;129;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
129;COLIDER;228;228;1;18;1;0;130;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
130;TELES PIRES;229;229;1;18;1;0;131;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
131;SAO MANOEL;230;230;1;18;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
132;SLT VERDINHO;241;241;1;2;1;0;28;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
133;OURINHOS;249;249;1;7;1;0;40;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
134;SERRA MESA;251;270;1;10;1;0;135;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
135;CANA BRAVA;252;191;1;10;1;0;136;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
136;SAO SALVADOR;253;253;1;10;1;0;137;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
137;PEIXE ANGIC;257;257;1;10;1;0;138;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
138;LAJEADO;261;273;1;10;1;0;140;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
139;SALTO;262;294;1;2;1;0;132;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
140;ESTREITO TOC;267;271;4;10;1;0;142;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;7643.82;por_usina;10000;0;10000
141;CURUA-UNA;272;277;4;20;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
142;TUCURUI;275;275;4;10;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;7643.82;por_usina;10000;0;10000
143;RONDON II;276;145;1;20;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
144;BALBINA;277;269;4;20;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
145;MANSO;278;278;1;11;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
146;SAMUEL;279;279;1;20;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
147;COARACY NUNE;280;280;4;20;1;0;150;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
148;PONTE PEDRA;281;281;1;11;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
149;STA CLARA MG;283;283;1;5;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
150;FERREIRA GOM;284;297;4;20;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
151;JIRAU;285;285;1;12;1;0;153;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
152;STO ANT JARI;286;290;4;20;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
153;STO ANTONIO;287;287;1;12;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
154;BELO MONTE;288;300;4;21;1;0;Nenhum;Nenhum;0;0;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
155;ESPORA;290;99;1;2;1;0;28;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
156;ITIQUIRA I;304;259;1;11;1;0;157;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
157;ITIQUIRA II;305;300;1;11;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
158;DARDANELOS;310;291;1;20;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
159;CACU;311;247;1;2;1;0;160;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
160;B. COQUEIROS;312;248;1;2;1;0;162;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
161;PIMENTAL;314;288;4;21;1;0;Nenhum;154;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
162;FOZ R. CLARO;315;261;1;2;1;0;28;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
