idHidreletrica;nome;codigo_usina;codigo_posto;submercado;bacia;considerar_usina;representacao_discreta_producao;jusante;jusante_desvio;tempo_viagem_agua;vertimento_maximo;penalidade_afluencia_incremental;penalidade_vertimento;penalidade_turbinamento;penalidade_desvio_agua;penalidade_turbinamento_minimo;penalidade_vazao_defluente_minima;penalidade_vazao_defluente_maxima;penalidade_vazao_desviada_minima;penalidade_volume_minimo;penalidade_potencia_minima;tipo_detalhamento_producao;penalidade_evaporacao;penalidade_volume_util_minimo;penalidade_vazao_retirada
70;FOZ CHAPECO;103;94;2;13;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
71;EDGARD SOUZA;107;161;1;6;1;0;29;72;0;1.00E+21;7651;0.001;0;7651;5000;5000;5000;5000;10000;5000;sem_producao;10000;0;10000
72;TRAICAO;108;104;1;6;1;0;71;73;0;1.00E+21;7651;0.001;0;7651;5000;5000;5000;5000;10000;5000;sem_producao;10000;0;10000
73;PEDREIRA;109;109;1;6;1;0;72;81;0;1.00E+21;7651;0.001;0;7651;5000;5000;5000;5000;10000;5000;sem_producao;10000;0;10000
74;ERNESTINA;110;110;2;15;1;0;75;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;sem_producao;10000;0;10000
75;PASSO REAL;111;111;2;15;1;0;76;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
76;JACUI;112;112;2;15;1;0;77;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
77;ITAUBA;113;113;2;15;1;0;78;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
78;D. FRANCISCA;114;114;2;15;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
79;G.P. SOUZA;115;115;2;17;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
80;GUARAPIRANGA;117;117;1;6;1;0;72;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;sem_producao;10000;0;10000
81;BILLINGS;118;301;1;6;1;0;73;82;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;sem_producao;10000;0;10000
82;HENRY BORDEN;119;300;1;6;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
83;JAGUARI;120;120;1;9;1;0;86;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
84;PARAIBUNA;121;121;1;9;1;0;85;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
85;SANTA BRANCA;122;122;1;9;1;0;86;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
86;FUNIL;123;123;1;9;1;0;88;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
87;LAJES;124;202;1;9;1;0;116;117;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;sem_producao;10000;0;10000
88;STA CECILIA;125;125;1;9;1;0;91;114;0;1.00E+21;7651;0.001;0;7651;5000;5000;5000;5000;10000;5000;sem_producao;10000;0;10000
89;PICADA;126;197;1;9;1;0;90;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
90;SOBRAGI;127;198;1;9;1;0;91;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
91;SIMPLICIO;129;129;1;9;1;0;92;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
