idSubmercado;idUsinaNaoSimulada;AttMatriz;Iteradores;1;2;3
2;1;potencia_minima;03/2021;1854.0;1934.0;1879.0
2;1;potencia_maxima;03/2021;1854.0;1934.0;1879.0
3;1;potencia_minima;03/2021;4620.0;4993.0;4711.0
3;1;potencia_maxima;03/2021;4620.0;4993.0;4711.0
4;1;potencia_minima;03/2021;461.0;477.0;444.0
4;1;potencia_maxima;03/2021;461.0;477.0;444.0
1;1;potencia_minima;04/2021;5706.0;5532.0;5516.0
1;1;potencia_maxima;04/2021;5706.0;5532.0;5516.0
2;1;potencia_minima;04/2021;1963.0;2012.0;1900.0
2;1;potencia_maxima;04/2021;1963.0;2012.0;1900.0
3;1;potencia_minima;04/2021;4903.0;5724.0;5574.0
3;1;potencia_maxima;04/2021;4903.0;5724.0;5574.0
4;1;potencia_minima;04/2021;449.0;421.0;416.0
4;1;potencia_maxima;04/2021;449.0;421.0;416.0
1;1;potencia_minima;05/2021;6334.0;6236.0;6186.0
1;1;potencia_maxima;05/2021;6334.0;6236.0;6186.0
2;1;potencia_minima;05/2021;2111.0;2140.0;2114.0
2;1;potencia_maxima;05/2021;2111.0;2140.0;2114.0
3;1;potencia_minima;05/2021;6156.0;7289.0;7057.0
3;1;potencia_maxima;05/2021;6156.0;7289.0;7057.0
4;1;potencia_minima;05/2021;485.0;464.0;451.0
4;1;potencia_maxima;05/2021;485.0;464.0;451.0
1;1;potencia_minima;06/2021;6132.0;6044.0;6013.0
1;1;potencia_maxima;06/2021;6132.0;6044.0;6013.0
2;1;potencia_minima;06/2021;2093.0;2135.0;2114.0
2;1;potencia_maxima;06/2021;2093.0;2135.0;2114.0
3;1;potencia_minima;06/2021;7884.0;8742.0;8409.0
3;1;potencia_maxima;06/2021;7884.0;8742.0;8409.0
4;1;potencia_minima;06/2021;452.0;440.0;431.0
4;1;potencia_maxima;06/2021;452.0;440.0;431.0
1;1;potencia_minima;07/2021;6187.0;6076.0;6033.0
1;1;potencia_maxima;07/2021;6187.0;6076.0;6033.0
2;1;potencia_minima;07/2021;2038.0;2100.0;2071.0
2;1;potencia_maxima;07/2021;2038.0;2100.0;2071.0
3;1;potencia_minima;07/2021;8689.0;9595.0;9191.0
3;1;potencia_maxima;07/2021;8689.0;9595.0;9191.0
4;1;potencia_minima;07/2021;459.0;477.0;466.0
4;1;potencia_maxima;07/2021;459.0;477.0;466.0
1;1;potencia_minima;08/2021;5979.0;5894.0;5862.0
1;1;potencia_maxima;08/2021;5979.0;5894.0;5862.0
