idHidreletrica;idReservatorio;AttVetor;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021;09/2021;10/2021;11/2021;12/2021;01/2022;02/2022;03/2022;04/2022;05/2022;06/2022;07/2022;08/2022;09/2022;10/2022;11/2022;12/2022;01/2023;02/2023;03/2023;04/2023;05/2023;06/2023;07/2023;08/2023;09/2023;10/2023;11/2023;12/2023;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024
1;1;coef_linear_evaporacao_0;0;0.021961833607;0.307287451062;0.442644194276;0.546165820356;0.509040823417;0.342692279439;0.246310075847;0.265586516565;0.160637005987;0.039944037646;0.067419181908;0;0.023524061000;0.310564878242;0.442644194276;0.546165820356;0.509040823417;0.342692279439;0.246310075847;0.265586516565;0.160637005987;0.040611424463;0.067419181908;0;0.023402300339;0.310564878242;0.442644194276;0.546165820356;0.509040823417;0.342692279439;0.246310075847;0.265586516565;0.160637005987;0.040611424463;0.067419181908;0;0.023402300339;0.310564878242;0.442644194276;0.546165820356;0.509040823417;0.342692279439;0.246310075847;0.265586516565;0.160637005987;0.040611424463;0.067419181908;0;0.023402300339;0.310564878242;0.442644194276;0.546165820356;0.509040823417;0.342692279439;0.246310075847;0.265586516565;0.160637005987;0.040611424463;0.067419181908
1;1;coef_linear_evaporacao_1;0;0.000061306704;0.000780933281;0.001091027705;0.001346187410;0.001254681861;0.000844666610;0.000607104126;0.000654616623;0.000395937474;0.000137792515;0.000235636171;0;0.000059332353;0.000765479116;0.001091027705;0.001346187410;0.001254681861;0.000844666610;0.000607104126;0.000654616623;0.000395937474;0.000131703937;0.000235636171;0;0.000059924826;0.000765479116;0.001091027705;0.001346187410;0.001254681861;0.000844666610;0.000607104126;0.000654616623;0.000395937474;0.000131703937;0.000235636171;0;0.000059924826;0.000765479116;0.001091027705;0.001346187410;0.001254681861;0.000844666610;0.000607104126;0.000654616623;0.000395937474;0.000131703937;0.000235636171;0;0.000059924826;0.000765479116;0.001091027705;0.001346187410;0.001254681861;0.000844666610;0.000607104126;0.000654616623;0.000395937474;0.000131703937;0.000235636171
1;1;volume_morto_completo;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;enchendo_volume_morto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;volume_minimo;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120
1;1;volume_util_minimo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;volume_util_maximo;372.019200000000;511.996800000000;632.016000000000;672;672;672;672;672;672;672;312.009600000000;301.996800000000;301.996800000000;642.028800000000;672;672;672;672;672;672;672;672;362.006400000000;301.996800000000;672;622.003200000000;672;672;672;672;672;672;672;672;362.006400000000;301.996800000000;672;622.003200000000;672;672;672;672;672;672;672;672;362.006400000000;301.996800000000;672;622.003200000000;672;672;672;672;672;672;672;672;362.006400000000;301.996800000000
2;1;coef_linear_evaporacao_0;0.001194742347;0.003192845927;0.018518506377;0.024691341836;0.028673816325;0.027160476019;0.017921135203;0.014336908163;0.016666655739;0.011350052295;0.003703701275;0.004778969388;0.001194742347;0.003306876139;0.018518506377;0.024691341836;0.028673816325;0.027160476019;0.017921135203;0.014336908163;0.016666655739;0.011350052295;0.003703701275;0.004778969388;0.001194742347;0.003306876139;0.018518506377;0.024691341836;0.028673816325;0.027160476019;0.017921135203;0.014336908163;0.016666655739;0.011350052295;0.003703701275;0.004778969388;0.001194742347;0.003306876139;0.018518506377;0.024691341836;0.028673816325;0.027160476019;0.017921135203;0.014336908163;0.016666655739;0.011350052295;0.003703701275;0.004778969388;0.001194742347;0.003306876139;0.018518506377;0.024691341836;0.028673816325;0.027160476019;0.017921135203;0.014336908163;0.016666655739;0.011350052295;0.003703701275;0.004778969388
2;1;coef_linear_evaporacao_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;volume_morto_completo;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
