idRestricaoOperativaUHE;AttMatriz;Iteradores;1;2;3
1;limite_inferior;10/2023;17.65;17.65;17.65
1;limite_superior;10/2023;17.65;17.65;17.65
1;limite_inferior;11/2023;17.65;17.65;17.65
1;limite_superior;11/2023;17.65;17.65;17.65
1;limite_inferior;12/2023;17.65;17.65;17.65
1;limite_superior;12/2023;17.65;17.65;17.65
1;limite_inferior;01/2024;17.65;17.65;17.65
1;limite_superior;01/2024;17.65;17.65;17.65
1;limite_inferior;02/2024;17.65;17.65;17.65
1;limite_superior;02/2024;17.65;17.65;17.65
1;limite_inferior;03/2024;17.65;17.65;17.65
1;limite_superior;03/2024;17.65;17.65;17.65
1;limite_inferior;04/2024;17.65;17.65;17.65
1;limite_superior;04/2024;17.65;17.65;17.65
1;limite_inferior;05/2024;17.65;17.65;17.65
1;limite_superior;05/2024;17.65;17.65;17.65
1;limite_inferior;06/2024;17.65;17.65;17.65
1;limite_superior;06/2024;17.65;17.65;17.65
1;limite_inferior;07/2024;17.65;17.65;17.65
1;limite_superior;07/2024;17.65;17.65;17.65
1;limite_inferior;08/2024;17.65;17.65;17.65
1;limite_superior;08/2024;17.65;17.65;17.65
1;limite_inferior;09/2024;17.65;17.65;17.65
1;limite_superior;09/2024;17.65;17.65;17.65
1;limite_inferior;10/2024;17.65;17.65;17.65
1;limite_superior;10/2024;17.65;17.65;17.65
1;limite_inferior;11/2024;17.65;17.65;17.65
1;limite_superior;11/2024;17.65;17.65;17.65
1;limite_inferior;12/2024;17.65;17.65;17.65
1;limite_superior;12/2024;17.65;17.65;17.65
2;limite_inferior;01/2020;5.5;5.5;5.5
2;limite_superior;01/2020;20;20;20
2;limite_inferior;02/2020;5.5;5.5;5.5
2;limite_superior;02/2020;20;20;20
2;limite_inferior;03/2020;5.5;5.5;5.5
2;limite_superior;03/2020;20;20;20
2;limite_inferior;04/2020;5.5;5.5;5.5
2;limite_superior;04/2020;20;20;20
2;limite_inferior;05/2020;5.5;5.5;5.5
2;limite_superior;05/2020;20;20;20
2;limite_inferior;06/2020;5.5;5.5;5.5
2;limite_superior;06/2020;20;20;20
2;limite_inferior;07/2020;5.5;5.5;5.5
2;limite_superior;07/2020;20;20;20
2;limite_inferior;08/2020;0;0;0
2;limite_superior;08/2020;inf;inf;inf
2;limite_inferior;09/2020;0;0;0
2;limite_superior;09/2020;inf;inf;inf
