idRestricaoEletrica;AttMatriz;Iteradores;1;2;3
1;potencia_maxima;04/2024;7401;7401;7401
1;potencia_maxima;05/2024;7401;7401;7401
1;potencia_maxima;06/2024;7401;7401;7401
1;potencia_maxima;07/2024;7401;7401;7401
1;potencia_maxima;08/2024;7401;7401;7401
1;potencia_maxima;09/2024;7401;7401;7401
1;potencia_maxima;10/2024;7401;7401;7401
1;potencia_maxima;11/2024;7401;7401;7401
1;potencia_maxima;12/2024;7401;7401;7401
1;potencia_minima;01/2020;0;0;0
1;potencia_minima;02/2020;0;0;0
1;potencia_minima;03/2020;0;0;0
1;potencia_minima;04/2020;0;0;0
1;potencia_minima;05/2020;0;0;0
1;potencia_minima;06/2020;0;0;0
1;potencia_minima;07/2020;0;0;0
1;potencia_minima;08/2020;0;0;0
1;potencia_minima;09/2020;0;0;0
1;potencia_minima;10/2020;0;0;0
1;potencia_minima;11/2020;0;0;0
1;potencia_minima;12/2020;0;0;0
1;potencia_minima;01/2021;0;0;0
1;potencia_minima;02/2021;0;0;0
1;potencia_minima;03/2021;0;0;0
1;potencia_minima;04/2021;0;0;0
1;potencia_minima;05/2021;0;0;0
1;potencia_minima;06/2021;0;0;0
1;potencia_minima;07/2021;0;0;0
1;potencia_minima;08/2021;0;0;0
1;potencia_minima;09/2021;0;0;0
1;potencia_minima;10/2021;0;0;0
1;potencia_minima;11/2021;0;0;0
1;potencia_minima;12/2021;0;0;0
1;potencia_minima;01/2022;0;0;0
1;potencia_minima;02/2022;0;0;0
1;potencia_minima;03/2022;0;0;0
1;potencia_minima;04/2022;0;0;0
1;potencia_minima;05/2022;0;0;0
1;potencia_minima;06/2022;0;0;0
1;potencia_minima;07/2022;0;0;0
1;potencia_minima;08/2022;0;0;0
1;potencia_minima;09/2022;0;0;0
1;potencia_minima;10/2022;0;0;0
1;potencia_minima;11/2022;0;0;0
1;potencia_minima;12/2022;0;0;0
1;potencia_minima;01/2023;0;0;0
1;potencia_minima;02/2023;0;0;0
1;potencia_minima;03/2023;0;0;0
1;potencia_minima;04/2023;0;0;0
1;potencia_minima;05/2023;0;0;0
1;potencia_minima;06/2023;0;0;0
1;potencia_minima;07/2023;0;0;0
1;potencia_minima;08/2023;0;0;0
1;potencia_minima;09/2023;0;0;0
1;potencia_minima;10/2023;0;0;0
1;potencia_minima;11/2023;0;0;0
1;potencia_minima;12/2023;0;0;0
1;potencia_minima;01/2024;0;0;0
1;potencia_minima;02/2024;0;0;0
1;potencia_minima;03/2024;0;0;0
1;potencia_minima;04/2024;0;0;0
1;potencia_minima;05/2024;0;0;0
1;potencia_minima;06/2024;0;0;0
1;potencia_minima;07/2024;0;0;0
1;potencia_minima;08/2024;0;0;0
1;potencia_minima;09/2024;0;0;0
1;potencia_minima;10/2024;0;0;0
1;potencia_minima;11/2024;0;0;0
1;potencia_minima;12/2024;0;0;0
2;potencia_maxima;01/2020;5588;5249;4616
2;potencia_maxima;02/2020;6500;6500;6500
2;potencia_maxima;03/2020;5763;5780;5848
2;potencia_maxima;04/2020;5736;5751;5820
2;potencia_maxima;05/2020;6500;6500;6500
2;potencia_maxima;06/2020;6500;6500;6500
2;potencia_maxima;07/2020;6500;6500;6500
2;potencia_maxima;08/2020;6500;6500;6500
2;potencia_maxima;09/2020;6500;6500;6500
2;potencia_maxima;10/2020;6500;6500;6500
2;potencia_maxima;11/2020;6500;6500;6500
2;potencia_maxima;12/2020;6500;6500;6500
2;potencia_maxima;01/2021;6500;6500;6500
2;potencia_maxima;02/2021;6500;6500;6500
2;potencia_maxima;03/2021;6500;6500;6500
2;potencia_maxima;04/2021;6500;6500;6500
2;potencia_maxima;05/2021;6500;6500;6500
2;potencia_maxima;06/2021;7000;7000;7000
2;potencia_maxima;07/2021;7500;7500;7500
2;potencia_maxima;08/2021;7500;7500;7500
2;potencia_maxima;09/2021;7500;7500;7500
2;potencia_maxima;10/2021;7500;7500;7500
2;potencia_maxima;11/2021;7500;7500;7500
2;potencia_maxima;12/2021;7500;7500;7500
2;potencia_maxima;01/2022;7500;7500;7500
2;potencia_maxima;02/2022;7500;7500;7500
2;potencia_maxima;03/2022;7500;7500;7500
2;potencia_maxima;04/2022;7500;7500;7500
2;potencia_maxima;05/2022;8300;8300;8300
2;potencia_maxima;06/2022;7000;7000;7000
2;potencia_maxima;07/2022;7500;7500;7500
2;potencia_maxima;08/2022;7500;7500;7500
2;potencia_maxima;09/2022;7500;7500;7500
2;potencia_maxima;10/2022;7500;7500;7500
2;potencia_maxima;11/2022;7500;7500;7500
2;potencia_maxima;12/2022;7500;7500;7500
2;potencia_maxima;01/2023;7500;7500;7500
2;potencia_maxima;02/2023;7500;7500;7500
2;potencia_maxima;03/2023;7500;7500;7500
2;potencia_maxima;04/2023;7500;7500;7500
2;potencia_maxima;05/2023;8300;8300;8300
2;potencia_maxima;06/2023;7000;7000;7000
2;potencia_maxima;07/2023;7500;7500;7500
2;potencia_maxima;08/2023;7500;7500;7500
2;potencia_maxima;09/2023;7500;7500;7500
2;potencia_maxima;10/2023;7500;7500;7500
2;potencia_maxima;11/2023;7500;7500;7500
2;potencia_maxima;12/2023;7500;7500;7500
2;potencia_maxima;01/2024;7500;7500;7500
2;potencia_maxima;02/2024;7500;7500;7500
2;potencia_maxima;03/2024;7500;7500;7500
2;potencia_maxima;04/2024;7500;7500;7500
2;potencia_maxima;05/2024;8300;8300;8300
2;potencia_maxima;06/2024;7000;7000;7000
2;potencia_maxima;07/2024;7500;7500;7500
2;potencia_maxima;08/2024;7500;7500;7500
2;potencia_maxima;09/2024;7500;7500;7500
2;potencia_maxima;10/2024;7500;7500;7500
2;potencia_maxima;11/2024;7500;7500;7500
2;potencia_maxima;12/2024;7500;7500;7500
2;potencia_minima;01/2020;0;0;0
2;potencia_minima;02/2020;0;0;0
2;potencia_minima;03/2020;0;0;0
2;potencia_minima;04/2020;0;0;0
2;potencia_minima;05/2020;0;0;0
2;potencia_minima;06/2020;0;0;0
2;potencia_minima;07/2020;0;0;0
2;potencia_minima;08/2020;0;0;0
2;potencia_minima;09/2020;0;0;0
2;potencia_minima;10/2020;0;0;0
2;potencia_minima;11/2020;0;0;0
2;potencia_minima;12/2020;0;0;0
2;potencia_minima;01/2021;0;0;0
2;potencia_minima;02/2021;0;0;0
2;potencia_minima;03/2021;0;0;0
2;potencia_minima;04/2021;0;0;0
2;potencia_minima;05/2021;0;0;0
2;potencia_minima;06/2021;0;0;0
2;potencia_minima;07/2021;0;0;0
2;potencia_minima;08/2021;0;0;0
2;potencia_minima;09/2021;0;0;0
2;potencia_minima;10/2021;0;0;0
2;potencia_minima;11/2021;0;0;0
2;potencia_minima;12/2021;0;0;0
2;potencia_minima;01/2022;0;0;0
2;potencia_minima;02/2022;0;0;0
2;potencia_minima;03/2022;0;0;0
2;potencia_minima;04/2022;0;0;0
2;potencia_minima;05/2022;0;0;0
2;potencia_minima;06/2022;0;0;0
2;potencia_minima;07/2022;0;0;0
2;potencia_minima;08/2022;0;0;0
2;potencia_minima;09/2022;0;0;0
2;potencia_minima;10/2022;0;0;0
2;potencia_minima;11/2022;0;0;0
2;potencia_minima;12/2022;0;0;0
2;potencia_minima;01/2023;0;0;0
2;potencia_minima;02/2023;0;0;0
2;potencia_minima;03/2023;0;0;0
2;potencia_minima;04/2023;0;0;0
2;potencia_minima;05/2023;0;0;0
2;potencia_minima;06/2023;0;0;0
2;potencia_minima;07/2023;0;0;0
2;potencia_minima;08/2023;0;0;0
2;potencia_minima;09/2023;0;0;0
2;potencia_minima;10/2023;0;0;0
2;potencia_minima;11/2023;0;0;0
2;potencia_minima;12/2023;0;0;0
2;potencia_minima;01/2024;0;0;0
2;potencia_minima;02/2024;0;0;0
2;potencia_minima;03/2024;0;0;0
2;potencia_minima;04/2024;0;0;0
2;potencia_minima;05/2024;0;0;0
2;potencia_minima;06/2024;0;0;0
2;potencia_minima;07/2024;0;0;0
2;potencia_minima;08/2024;0;0;0
2;potencia_minima;09/2024;0;0;0
2;potencia_minima;10/2024;0;0;0
