idHidreletrica;AttVetor;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021;09/2021;10/2021;11/2021;12/2021;01/2022;02/2022;03/2022;04/2022;05/2022;06/2022;07/2022;08/2022;09/2022;10/2022;11/2022;12/2022;01/2023;02/2023;03/2023;04/2023;05/2023;06/2023;07/2023;08/2023;09/2023;10/2023;11/2023;12/2023;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024
1;tipo_detalhamento_producao;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina
1;regularizacao;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;vazao_turbinada_minima;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;vazao_turbinada_maxima;203.816388405928;211.450543545816;220.819686621287;220.418540598358;222.761533773666;223.220581189713;223.330252656136;222.731349547603;220.575988748350;215.507633851797;200.587756851906;201.333616571176;208.046659471417;214.704897841683;217.013392792404;218.931859663263;219.942603999059;218.986188745858;218.081065921140;214.241076549313;209.430238245224;205.847574992746;206.896462410334;207.185969925290;211.024227622076;213.331090751406;215.352733453806;217.236024939444;217.366052835688;218.986188745858;218.081065921140;214.241076549313;209.430238245224;205.847574992746;206.896462410334;207.185969925290;211.024227622076;213.331090751406;215.352733453806;217.236024939444;217.366052835688;218.986188745858;218.081065921140;214.241076549313;209.430238245224;205.847574992746;206.896462410334;207.185969925290;211.024227622076;213.331090751406;215.352733453806;217.236024939444;217.366052835688;218.986188745858;218.081065921140;214.241076549313;209.430238245224;205.847574992746;206.896462410334;207.185969925290
1;vazao_retirada;0.200000000000;0.200000000000;0.400000000000;0.500000000000;0.200000000000;0.500000000000;0.500000000000;0.400000000000;0.500000000000;0.200000000000;0.200000000000;0.200000000000;0.200000000000;0.200000000000;0.400000000000;0.500000000000;0.200000000000;0.500000000000;0.500000000000;0.400000000000;0.500000000000;0.200000000000;0.200000000000;0.200000000000;0.200000000000;0.200000000000;0.400000000000;0.500000000000;0.200000000000;0.500000000000;0.500000000000;0.400000000000;0.500000000000;0.200000000000;0.200000000000;0.200000000000;0.200000000000;0.200000000000;0.400000000000;0.500000000000;0.200000000000;0.500000000000;0.500000000000;0.400000000000;0.500000000000;0.200000000000;0.200000000000;0.200000000000;0.200000000000;0.200000000000;0.400000000000;0.500000000000;0.200000000000;0.500000000000;0.500000000000;0.400000000000;0.500000000000;0.200000000000;0.200000000000;0.200000000000
1;disponibilidade;0.955000000000;0.955000000000;0.955000000000;0.955000000000;0.955000000000;0.961000000000;0.960000000000;0.960000000000;0.960000000000;0.960000000000;0.960000000000;0.960000000000;0.960000000000;0.960000000000;0.960000000000;0.960000000000;0.960000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000;0.962000000000
2;tipo_detalhamento_producao;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina
2;regularizacao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;vazao_turbinada_minima;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;vazao_turbinada_maxima;212.517381926527;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;213.358898096918;213.358898096918;213.358898096918;213.358898096918;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;213.358898096918;213.358898096918;213.358898096918;213.358898096918;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;213.358898096918;213.358898096918;213.358898096918;213.358898096918;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727;216.529727327727
