idTermeletrica;AttMatriz;Iteradores;1;2;3
18;potencia_disponivel_minima;01/2020;0;0;0
18;custo_de_operacao;01/2020;375;375;375
18;potencia_util;01/2020;0;0;0
18;potencia_minima;01/2020;0;0;0
19;custo_de_operacao;01/2020;375.640000000000;375.640000000000;375.640000000000
19;potencia_util;01/2020;0;0;0
19;potencia_minima;01/2020;0;0;0
19;potencia_disponivel_minima;01/2020;0;0;0
19;potencia_disponivel_maxima;01/2020;0;0;0
20;custo_de_operacao;01/2020;410;410;410
20;potencia_util;01/2020;126;126;126
20;potencia_minima;01/2020;0;0;0
20;potencia_disponivel_minima;01/2020;0;0;0
20;potencia_disponivel_maxima;01/2020;126;126;126
21;potencia_disponivel_minima;01/2020;0;0;0
21;potencia_disponivel_maxima;01/2020;0;0;0
21;potencia_minima;01/2020;0;0;0
21;potencia_util;01/2020;0;0;0
21;custo_de_operacao;01/2020;470.340000000000;470.340000000000;470.340000000000
22;custo_de_operacao;01/2020;511.770000000000;511.770000000000;511.770000000000
22;potencia_util;01/2020;0;0;0
22;potencia_minima;01/2020;0;0;0
22;potencia_disponivel_minima;01/2020;0;0;0
22;potencia_disponivel_maxima;01/2020;0;0;0
23;custo_de_operacao;01/2020;548.040000000000;548.040000000000;548.040000000000
23;potencia_util;01/2020;380.700000000000;380.700000000000;380.700000000000
23;potencia_minima;01/2020;0;0;0
23;potencia_disponivel_minima;01/2020;0;0;0
23;potencia_disponivel_maxima;01/2020;380.700000000000;380.700000000000;380.700000000000
24;potencia_disponivel_minima;01/2020;0;0;0
24;potencia_minima;01/2020;0;0;0
24;potencia_disponivel_maxima;01/2020;881;881;881
24;custo_de_operacao;01/2020;591.240000000000;591.240000000000;591.240000000000
24;potencia_util;01/2020;881;881;881
25;custo_de_operacao;01/2020;720.760000000000;720.760000000000;720.760000000000
25;potencia_util;01/2020;175;175;175
25;potencia_minima;01/2020;0;0;0
25;potencia_disponivel_minima;01/2020;0;0;0
25;potencia_disponivel_maxima;01/2020;175;175;175
26;potencia_disponivel_maxima;01/2020;0;0;0
26;potencia_disponivel_minima;01/2020;0;0;0
26;potencia_util;01/2020;0;0;0
26;custo_de_operacao;01/2020;910.860000000000;910.860000000000;910.860000000000
26;potencia_minima;01/2020;0;0;0
27;potencia_disponivel_minima;01/2020;0;0;0
27;custo_de_operacao;01/2020;923.870000000000;923.870000000000;923.870000000000
27;potencia_util;01/2020;121.500000000000;121.500000000000;121.500000000000
27;potencia_minima;01/2020;0;0;0
27;potencia_disponivel_maxima;01/2020;121.500000000000;121.500000000000;121.500000000000
28;potencia_disponivel_maxima;01/2020;0;0;0
28;potencia_disponivel_minima;01/2020;0;0;0
28;custo_de_operacao;01/2020;939.550000000000;939.550000000000;939.550000000000
28;potencia_util;01/2020;0;0;0
28;potencia_minima;01/2020;0;0;0
29;custo_de_operacao;01/2020;978.100000000000;978.100000000000;978.100000000000
29;potencia_util;01/2020;0;0;0
29;potencia_minima;01/2020;0;0;0
