idUsinaElevatoria;AttMatriz;Iteradores;1;2;3
4;vazao_bombeada_disponivel_maxima;07/2024;inf;inf;inf
4;vazao_bombeada_disponivel_minima;07/2024;0;0;0
1;vazao_bombeada_disponivel_maxima;08/2024;inf;inf;inf
1;vazao_bombeada_disponivel_minima;08/2024;0;0;0
2;vazao_bombeada_disponivel_maxima;08/2024;inf;inf;inf
2;vazao_bombeada_disponivel_minima;08/2024;0;0;0
3;vazao_bombeada_disponivel_maxima;08/2024;inf;inf;inf
3;vazao_bombeada_disponivel_minima;08/2024;0;0;0
4;vazao_bombeada_disponivel_maxima;08/2024;inf;inf;inf
4;vazao_bombeada_disponivel_minima;08/2024;0;0;0
1;vazao_bombeada_disponivel_maxima;09/2024;inf;inf;inf
1;vazao_bombeada_disponivel_minima;09/2024;0;0;0
2;vazao_bombeada_disponivel_maxima;09/2024;inf;inf;inf
2;vazao_bombeada_disponivel_minima;09/2024;0;0;0
3;vazao_bombeada_disponivel_maxima;09/2024;inf;inf;inf
3;vazao_bombeada_disponivel_minima;09/2024;0;0;0
4;vazao_bombeada_disponivel_maxima;09/2024;inf;inf;inf
4;vazao_bombeada_disponivel_minima;09/2024;0;0;0
1;vazao_bombeada_disponivel_maxima;10/2024;inf;inf;inf
1;vazao_bombeada_disponivel_minima;10/2024;0;0;0
2;vazao_bombeada_disponivel_maxima;10/2024;inf;inf;inf
2;vazao_bombeada_disponivel_minima;10/2024;0;0;0
3;vazao_bombeada_disponivel_maxima;10/2024;inf;inf;inf
3;vazao_bombeada_disponivel_minima;10/2024;0;0;0
4;vazao_bombeada_disponivel_maxima;10/2024;inf;inf;inf
4;vazao_bombeada_disponivel_minima;10/2024;0;0;0
1;vazao_bombeada_disponivel_maxima;11/2024;inf;inf;inf
1;vazao_bombeada_disponivel_minima;11/2024;0;0;0
2;vazao_bombeada_disponivel_maxima;11/2024;inf;inf;inf
2;vazao_bombeada_disponivel_minima;11/2024;0;0;0
3;vazao_bombeada_disponivel_maxima;11/2024;inf;inf;inf
3;vazao_bombeada_disponivel_minima;11/2024;0;0;0
4;vazao_bombeada_disponivel_maxima;11/2024;inf;inf;inf
4;vazao_bombeada_disponivel_minima;11/2024;0;0;0
1;vazao_bombeada_disponivel_maxima;12/2024;inf;inf;inf
1;vazao_bombeada_disponivel_minima;12/2024;0;0;0
2;vazao_bombeada_disponivel_maxima;12/2024;inf;inf;inf
2;vazao_bombeada_disponivel_minima;12/2024;0;0;0
3;vazao_bombeada_disponivel_maxima;12/2024;inf;inf;inf
3;vazao_bombeada_disponivel_minima;12/2024;0;0;0
4;vazao_bombeada_disponivel_maxima;12/2024;inf;inf;inf
4;vazao_bombeada_disponivel_minima;12/2024;0;0;0
