idHidreletrica;idAfluencia;AttMatriz;Iteradores;02/2019;03/2019;04/2019;05/2019;06/2019;07/2019;08/2019;09/2019;10/2019;11/2019;12/2019
64;vazao_afluente;natural_tendencia;1;97;121;88;143;148;33;17;18;22;62;54
65;vazao_afluente;natural_tendencia;1;80;99;106;344;141;136;43;63;209;377;33
66;vazao_afluente;natural_tendencia;1;123;149;165;469;237;221;78;109;338;590;67
67;vazao_afluente;natural_tendencia;1;129;156;171;480;255;232;82;115;351;622;71
68;vazao_afluente;natural_tendencia;1;196;419;232;499;271;277;165;148;283;541;141
69;vazao_afluente;natural_tendencia;1;202;436;238;514;287;287;173;154;289;564;148
70;vazao_afluente;natural_tendencia;1;1017;1435;734;2566;1899;1200;384;346;725;1578;518
71;vazao_afluente;natural_tendencia;1;462;463;231;193;147;182;92;126;86;122;142
72;vazao_afluente;natural_tendencia;1;108;116;60;64;47;46;35;42;33;38;36
73;vazao_afluente;natural_tendencia;1;55;63;29;35;21;20;16;22;16;18;16
74;vazao_afluente;natural_tendencia;1;41;40;34;65;40;41;28;25;53;69;22
75;vazao_afluente;natural_tendencia;1;182;238;172;361;231;223;138;118;285;544;132
76;vazao_afluente;natural_tendencia;1;183;241;175;366;233;227;140;119;291;550;132
77;vazao_afluente;natural_tendencia;1;196;312;240;470;273;316;170;149;453;670;145
78;vazao_afluente;natural_tendencia;1;210;389;313;588;316;415;204;181;637;799;157
79;vazao_afluente;natural_tendencia;1;30;22;21;36;26;15;15;17;12;18;14
80;vazao_afluente;natural_tendencia;1;53;53;31;29;26;26;19;20;17;20;20
81;vazao_afluente;natural_tendencia;1;55;63;29;35;21;20;16;22;16;18;16
82;vazao_afluente;natural_tendencia;1;0;0;0;0;0;0;0;0;0;0;0
83;vazao_afluente;natural_tendencia;1;29;36;25;20;16;22;12;12;9;13;21
84;vazao_afluente;natural_tendencia;1;83;108;65;71;50;55;39;40;36;43;56
