idIntercambio;AttMatriz;Iteradores;1;2;3
11;potencia_maxima;03/2020;5500;5500;5500
11;potencia_minima;03/2020;0;0;0
12;potencia_minima;03/2020;0;0;0
12;potencia_maxima;03/2020;4000;4000;4000
13;potencia_maxima;03/2020;4000;4000;4000
13;potencia_minima;03/2020;0;0;0
14;potencia_maxima;03/2020;1300;1300;1300
14;potencia_minima;03/2020;0;0;0
15;potencia_maxima;03/2020;2000;2000;2000
15;potencia_minima;03/2020;0;0;0
16;potencia_maxima;03/2020;7000;7000;6000
16;potencia_minima;03/2020;0;0;0
17;potencia_minima;03/2020;0;0;0
17;potencia_maxima;03/2020;3270;3270;3270
1;potencia_minima;04/2020;0;0;0
1;potencia_maxima;04/2020;6400;6400;6000
2;potencia_minima;04/2020;0;0;0
2;potencia_maxima;04/2020;7120;7120;7120
3;potencia_maxima;04/2020;8800;8800;8800
3;potencia_minima;04/2020;0;0;0
4;potencia_minima;04/2020;0;0;0
4;potencia_maxima;04/2020;6200;6200;6100
5;potencia_maxima;04/2020;99999;99999;99999
5;potencia_minima;04/2020;0;0;0
6;potencia_minima;04/2020;3900;3854;3449
6;potencia_maxima;04/2020;7000;7000;7000
7;potencia_minima;04/2020;1680;1680;1680
7;potencia_maxima;04/2020;7000;7000;7000
8;potencia_minima;04/2020;0;0;0
8;potencia_maxima;04/2020;99999;99999;99999
9;potencia_minima;04/2020;0;0;0
9;potencia_maxima;04/2020;99999;99999;99999
10;potencia_maxima;04/2020;4500;4500;4500
10;potencia_minima;04/2020;0;0;0
11;potencia_maxima;04/2020;5500;5500;5500
11;potencia_minima;04/2020;0;0;0
12;potencia_minima;04/2020;0;0;0
12;potencia_maxima;04/2020;4000;4000;4000
13;potencia_maxima;04/2020;4000;4000;4000
13;potencia_minima;04/2020;0;0;0
14;potencia_maxima;04/2020;1400;1200;1200
14;potencia_minima;04/2020;0;0;0
15;potencia_maxima;04/2020;2000;2000;2000
15;potencia_minima;04/2020;0;0;0
16;potencia_maxima;04/2020;8000;8000;8000
16;potencia_minima;04/2020;0;0;0
17;potencia_minima;04/2020;0;0;0
17;potencia_maxima;04/2020;2500;2500;2500
1;potencia_minima;05/2020;0;0;0
1;potencia_maxima;05/2020;6300;6300;5500
2;potencia_minima;05/2020;0;0;0
2;potencia_maxima;05/2020;8520;9320;9320
3;potencia_maxima;05/2020;10200;11000;11000
3;potencia_minima;05/2020;0;0;0
4;potencia_minima;05/2020;0;0;0
4;potencia_maxima;05/2020;6500;6800;6800
5;potencia_maxima;05/2020;99999;99999;99999
5;potencia_minima;05/2020;0;0;0
6;potencia_minima;05/2020;3719;3678;3308
6;potencia_maxima;05/2020;7000;7000;7000
7;potencia_minima;05/2020;1680;1680;1680
7;potencia_maxima;05/2020;7000;7000;7000
8;potencia_minima;05/2020;0;0;0
8;potencia_maxima;05/2020;99999;99999;99999
9;potencia_minima;05/2020;0;0;0
9;potencia_maxima;05/2020;99999;99999;99999
10;potencia_maxima;05/2020;4500;4500;4500
10;potencia_minima;05/2020;0;0;0
11;potencia_maxima;05/2020;5500;5500;5500
11;potencia_minima;05/2020;0;0;0
12;potencia_minima;05/2020;0;0;0
12;potencia_maxima;05/2020;4000;4000;4000
13;potencia_maxima;05/2020;4000;4000;4000
13;potencia_minima;05/2020;0;0;0
14;potencia_maxima;05/2020;1400;1400;1200
14;potencia_minima;05/2020;0;0;0
15;potencia_maxima;05/2020;2000;2000;2000
15;potencia_minima;05/2020;0;0;0
16;potencia_maxima;05/2020;8000;8000;8000
