idSubmercado;AttVetor;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021;09/2021;10/2021;11/2021;12/2021;01/2022;02/2022;03/2022;04/2022;05/2022;06/2022;07/2022;08/2022;09/2022;10/2022;11/2022;12/2022;01/2023;02/2023;03/2023;04/2023;05/2023;06/2023;07/2023;08/2023;09/2023;10/2023;11/2023;12/2023;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024;
1;demanda_media;42076.345238096234;42706.445402343757;42963.800000044765;41248.749999994667;35953.499999962296;35963.846666664213;35701.071428606447;36928.103494585914;38321.092948720441;39183.956896549622;39474.152777776239;40793.138888887333;41430.236111109567;42395.902173917682;42124.153846153153;40935.553571425131;38772.845430067930;38005.403846156973;37671.919540266528;39021.345000000001;40449.222222222888;41641.988888886444;40983.888333290393;40116.500000001179;42122.403225807037;43175.999999999287;42895.814814820071;41682.712643678678;41557.646756999995;40470.952244219996;39507.896489039995;40428.524755439998;41810.673559100003;42658.998293640005;42584.480463000000;42902.917197210001;45519.730976799998;46275.857469920003;45950.301891499999;44367.577214670004;41853.152037959997;41120.055100800004;40785.805042919994;41737.152757419994;43162.818715400004;44037.245286089994;43970.463553800000;44305.199815550004;46942.976059069995;47650.129131499998;47394.289103400006;45757.998417739997;43161.145884179998;42374.642354999989;42031.458137900001;43022.085331020004;44514.839979180004;45412.003178840001;45355.446656800006;45705.652634400001;
2;demanda_media;12898.785714285856;12703.870689668676;13433.786666680857;11810.604938269602;10782.027777766283;10676.873333332340;10898.750000010677;10879.520161279122;11003.439102565002;11178.862068964718;11962.083333332645;12388.388888888196;12906.472222221484;13194.418478262814;12605.230769230366;12029.669642855886;11583.719086009591;11104.368589744794;11311.896551735090;11404.755000000001;11686.944444444725;12058.008333332451;12349.163333320179;12575.285714286025;13607.951612903515;13677.666666666260;13522.950617286126;12588.482758620776;11719.623553600000;11672.808329340000;11665.986584099999;11657.253190039999;11578.060437159998;11895.720206080001;12233.907266279999;12457.955898680000;13779.197728650000;14036.243103519999;13407.792444160001;12793.059103660000;12026.621390040002;12127.942513280001;12119.886556800000;12111.130314360000;12030.093593400001;12360.250413599999;12709.903658200001;12943.340918620001;14238.990175089999;14505.145049999999;13856.225575680000;13221.353529540000;12429.055309050000;12523.666736359999;12502.125520080001;12505.653833920001;12432.162734880001;12772.923489729999;13134.900436700000;13376.177900799999;
3;demanda_media;11670.595238095390;11739.997126448949;11951.080000012287;11425.206790122487;10420.805555544797;10218.066666666231;10362.857142867428;10559.862903215095;10683.160256410712;11141.106321838690;11440.874999999665;11900.666666666348;11866.180555555227;11491.242753624061;11414.384615384524;11469.517857142197;11075.176075257592;10459.778846154333;10394.091954033267;11109.890000000001;11438.111111111190;12030.558333332850;12310.531666653973;12121.238095238248;11998.387096774317;12041.388888888803;11839.000000000942;11707.350574712795;11304.884688999999;11247.906641600001;11012.911675740001;11337.125160479998;11631.141200340000;12229.884059600001;12446.133172200000;12322.030805000000;12417.914067440001;12293.093180940001;12264.044763600001;12072.158746800000;11941.791970360000;11440.967049920000;11202.078750059998;11530.991928300000;11830.072636199999;12439.989923600002;12660.135462000000;12533.018799500001;12870.000900900000;12740.140012600001;12710.058720200001;12511.249969780001;12377.052849789998;11857.812999340000;11608.089149439998;11950.848222299999;12260.161341600000;12891.958358839998;13120.140384000000;12988.948823340001;
4;demanda_media;5707.142857142925;6019.181034488902;5867.013333339301;5623.706790123151;5374.749999994536;5214.246666666553;5380.928571433914;5604.853494618013;5687.852564102714;5846.844827586096;6105.333333333258;6088.041666666604;5830.083333333265;5852.940217391537;5753.846153846143;5695.970238095020;5853.817204295176;5761.070512820672;5861.264367821899;6053.295000000000;6160.944444444460;6150.969444444294;6148.083333327091;5939.702380952440;5922.354838709703;6056.888888888888;6128.851851852153;6035.454022988569;5879.981889600001;6040.930770139999;6176.031250560000;6614.984256299999;6834.050298239999;7010.902406880000;7067.039716540000;7000.005600000000;6774.998441750000;6916.028078960000;7037.901327240001;6999.082238249999;7045.967306560000;6950.021684000000;6851.975743919999;7120.094838400000;7235.001591700000;7225.005491000000;7221.040582020000;7001.104174880001;7019.070189999999;7144.983066350001;7250.993764140001;7212.009952560000;7260.039276599999;7159.976300400000;7059.067201680000;7336.975347680000;7455.056061600000;7444.020396559999;7440.041812800000;7213.020484920000;
5;demanda_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;demanda_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;demanda_media;2214.619047619115;2014.514367818380;1858.520000001938;1756.067901234357;1616.944444442735;1633.939999999875;1667.803571430237;1649.393817202613;1685.564102564206;1849.991379310246;2002.833333333270;2053.402777777713;2286.986111111039;2382.391304348106;1910.769230769219;1716.339285714132;1608.990591396203;1723.368589743727;1722.747126438489;1740.625000000000;1825.611111111122;1915.608333333192;1957.286666664615;1976.761904762000;1927.443548387116;2358.999999999986;2215.493827160763;1896.643678160966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;demanda_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
