idRestricaoOperativaUHE;AttVetor;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021;09/2021;10/2021;11/2021;12/2021;01/2022;02/2022;03/2022;04/2022;05/2022;06/2022;07/2022;08/2022;09/2022;10/2022;11/2022;12/2022;01/2023;02/2023;03/2023;04/2023;05/2023;06/2023;07/2023;08/2023;09/2023;10/2023;11/2023;12/2023;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024;
6;limite_inferior_media;783.400000000000;783.400000000783;783.400000000783;783.400000000000;783.399999999217;783.400000000000;783.400000000783;783.399999999217;783.400000000000;783.400000000000;783.400000000000;783.400000000000;783.400000000000;783.400000000000;783.400000000000;783.400000000000;783.399999999217;783.400000000000;783.400000000783;783.400000000000;783.400000000000;783.400000000000;0;0;0;0;0;0;0;783.400000000000;783.400000000000;783.400000000000;783.400000000000;783.400000000000;0;0;0;0;0;0;0;783.400000000000;783.400000000000;783.400000000000;783.400000000000;783.400000000000;0;0;0;0;0;0;0;783.400000000000;783.400000000000;783.400000000000;783.400000000000;783.400000000000;0;0;
6;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
7;limite_inferior_media;554;554.000000000554;554.000000000554;554;553.999999999446;554;554.000000000554;553.999999999446;554;554;554;554;554;554;554;554;553.999999999446;554;554.000000000554;554;554;0;0;0;0;0;0;0;0;554;554;554;554;0;0;0;0;0;0;0;0;554;554;554;554;0;0;0;0;0;0;0;0;554;554;554;554;0;0;0;
7;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
8;limite_inferior_media;516.900000000000;516.900000000517;516.900000000517;516.900000000000;516.899999999483;516.900000000000;516.900000000517;516.899999999483;516.900000000000;516.900000000000;516.900000000000;516.900000000000;516.900000000000;516.900000000000;516.900000000000;516.900000000000;516.899999999483;516.900000000000;516.900000000517;516.900000000000;516.900000000000;0;0;0;0;0;0;0;0;516.900000000000;516.900000000000;516.900000000000;516.900000000000;0;0;0;0;0;0;0;0;516.900000000000;516.900000000000;516.900000000000;516.900000000000;0;0;0;0;0;0;0;0;516.900000000000;516.900000000000;516.900000000000;516.900000000000;0;0;0;
8;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
9;limite_inferior_media;1239.040000000000;1239.040000001239;1239.040000001239;1239.040000000000;1239.039999998761;1239.040000000000;1239.040000001239;1239.039999998761;1239.040000000000;1155;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1239.039999998761;1239.040000000000;1239.040000001239;1168;766.040000000000;0;294.999999999705;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1168;766.040000000000;0;295;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1168;766.040000000000;0;295;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1239.040000000000;1168;766.040000000000;0;295;1239.040000000000;
9;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
10;limite_inferior_media;616.060000000000;616.060000000616;616.060000000616;616.060000000000;616.059999999384;616.060000000000;616.060000000616;616.059999999384;616.060000000000;616.060000000000;605;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.059999999384;616.060000000000;616.060000000616;616.060000000000;616.060000000000;0;0;430;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.060000000000;0;0;430;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.060000000000;0;0;430;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.060000000000;616.060000000000;0;0;430;
10;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
11;limite_inferior_media;1571.910000000000;1571.910000001572;1571.910000001572;1571.910000000000;1571.909999998428;1571.910000000000;1571.910000001572;1571.909999998428;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.909999998428;1571.910000000000;1571.910000001572;1571.910000000000;1571.910000000000;1571.910000000000;1571.909999998428;535;505;1967.950000000000;2442.420000000000;897.270000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;535;505.000000000000;1967.950000000000;2442.420000000000;897.270000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;535;505.000000000000;1967.950000000000;2442.420000000000;897.270000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;1571.910000000000;535;
11;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
12;limite_inferior_media;475;475.000000000475;475.000000000475;475;474.999999999525;475;475.000000000475;474.999999999525;475;475;475;475;305;475;475;475.750000000000;475.749999999524;474.750000000000;474.750000000475;474.750000000000;474.750000000000;474.750000000000;474.749999999525;0;0;0;0;0;0;474.750000000000;474.750000000000;474.750000000000;474.750000000000;474.750000000000;474.750000000000;0;0;0;0;0;0;474.750000000000;474.750000000000;474.750000000000;474.750000000000;474.750000000000;474.750000000000;0;0;0;0;0;0;474.750000000000;474.750000000000;474.750000000000;474.750000000000;474.750000000000;474.750000000000;0;
12;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
13;limite_inferior_media;457;457.000000000457;457.000000000457;457;456.999999999543;457;457.000000000457;456.999999999543;457;457;457;457;457;457;457;456.150000000000;456.149999999544;456.150000000000;456.150000000456;456.150000000000;456.150000000000;456.150000000000;456.149999999544;0;0;0;0;0;0;456.150000000000;456.150000000000;456.150000000000;456.150000000000;456.150000000000;456.150000000000;0;0;0;0;0;0;456.150000000000;456.150000000000;456.150000000000;456.150000000000;456.150000000000;456.150000000000;0;0;0;0;0;0;456.150000000000;456.150000000000;456.150000000000;456.150000000000;456.150000000000;456.150000000000;0;
13;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
14;limite_inferior_media;343.440000000000;343.440000000344;343.440000000344;343.440000000000;343.439999999657;343.440000000000;343.440000000343;343.439999999657;343.440000000000;343.440000000000;343.440000000000;343.440000000000;343.440000000000;343.440000000000;343.440000000000;343.440000000000;343.439999999657;343.440000000000;343.440000000343;343.440000000000;343.440000000000;343.440000000000;343.439999999657;0;0;0;0;0;0;343.440000000000;343.440000000000;343.440000000000;343.440000000000;343.440000000000;343.440000000000;0;0;0;0;0;0;343.440000000000;343.440000000000;343.440000000000;343.440000000000;343.440000000000;343.440000000000;0;0;0;0;0;0;343.440000000000;343.440000000000;343.440000000000;343.440000000000;343.440000000000;343.440000000000;0;
14;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
15;limite_inferior_media;1549.500000000000;1549.500000001550;1549.500000001550;1549.500000000000;1549.499999998450;1549.500000000000;1549.500000001549;1549.499999998450;1549.500000000000;1549.500000000000;1549.500000000000;0;1549.500000000000;1549.500000000000;1549.500000000000;1549.500000000000;1549.499999998450;1549.500000000000;1549.500000001550;1549.500000000000;2583;0;0;0;0;0;0;0;0;1549.500000000000;1549.500000000000;1549.500000000000;2583;0;0;0;0;0;0;0;0;1549.500000000000;1549.500000000000;1549.500000000000;2583;0;0;0;0;0;0;0;0;1549.500000000000;1549.500000000000;1549.500000000000;2583;0;0;0;
15;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
16;limite_inferior_media;330.750000000000;330.750000000331;330.750000000331;330.750000000000;330.749999999669;330.750000000000;330.750000000331;330.749999999669;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.749999999669;330.750000000000;330.750000000331;330.750000000000;381.370000000000;381.370000000000;381.369999999619;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;381.370000000000;381.370000000000;381.370000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;381.370000000000;381.370000000000;381.370000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;330.750000000000;381.370000000000;381.370000000000;381.370000000000;330.750000000000;
16;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
17;limite_inferior_media;526;526.000000000526;526.000000000526;526;525.999999999474;526;526.000000000526;525.999999999474;526;526;526;526;526;526;526;526;525.999999999474;526;526.000000000526;526;526;0;0;-inf;-inf;-inf;-inf;-inf;-inf;526;526;526;526;0;0;-inf;-inf;-inf;-inf;-inf;-inf;526;526;526;526;0;0;-inf;-inf;-inf;-inf;-inf;-inf;526;526;526;526;0;0;-inf;
17;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;4778.420000004779;4778.420000000000;4778.420000000000;4778.420000000000;4778.419999995222;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;inf;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;inf;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;inf;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;
18;limite_inferior_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;limite_superior_media;4999.300000000000;4999.300000005000;4999.300000005000;4999.300000000000;4778.419999995222;4778.420000000000;4778.420000004779;4778.419999995222;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.420000000000;4778.419999995222;4778.420000000000;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;4778.420000000000;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;4778.420000000000;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;4778.420000000000;inf;inf;inf;inf;inf;inf;
19;limite_inferior_media;996;996.000000000996;996.000000000996;996;995.999999999004;996;996.000000000996;995.999999999004;996;996;996;996;996;996;996;996.300000000000;996.299999999004;996.300000000000;996.300000000996;996.300000000000;996.300000000000;0;0;0;0;0;0;0;0;996.300000000000;996.300000000000;996.300000000000;996.300000000000;0;0;0;0;0;0;0;0;996.300000000000;996.300000000000;996.300000000000;996.300000000000;0;0;0;0;0;0;0;0;996.300000000000;996.300000000000;996.300000000000;996.300000000000;0;0;0;
19;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
20;limite_inferior_media;131.800000000000;131.800000000132;131.800000000132;131.800000000000;131.799999999868;131.800000000000;131.800000000132;1054.399999998946;131.800000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;1054.400000000000;1054.399999998946;1054.400000000000;1054.400000001055;131.800000000000;131.800000000000;131.800000000000;131.799999999868;131.800000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;1054.400000000000;1054.400000000000;1054.400000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;1054.400000000000;1054.400000000000;1054.400000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;1054.400000000000;1054.400000000000;1054.400000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;131.800000000000;
20;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
21;limite_inferior_media;158.600000000000;158.600000000159;158.600000000159;158.600000000000;158.599999999841;158.600000000000;158.600000000159;396.499999999604;158.600000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;396.500000000000;396.499999999604;396.500000000000;396.500000000397;158.600000000000;158.600000000000;158.600000000000;158.599999999841;158.600000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;396.500000000000;396.500000000000;396.500000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;396.500000000000;396.500000000000;396.500000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;396.500000000000;396.500000000000;396.500000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;158.600000000000;
21;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
22;limite_inferior_media;30.800000000000;30.800000000031;30.800000000031;30.800000000000;30.799999999969;30.800000000000;30.800000000031;123.199999999877;30.800000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;123.200000000000;123.199999999877;123.200000000000;123.200000000123;30.800000000000;30.800000000000;30.800000000000;30.799999999969;30.800000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;123.200000000000;123.200000000000;123.200000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;123.200000000000;123.200000000000;123.200000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;123.200000000000;123.200000000000;123.200000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;30.800000000000;
22;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
23;limite_inferior_media;181.500000000000;181.500000000182;181.500000000182;181.500000000000;181.499999999818;181.500000000000;181.500000000182;181.499999999818;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.499999999818;181.500000000000;181.500000000182;181.500000000000;181.500000000000;181.500000000000;181.499999999818;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;181.500000000000;
23;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
24;limite_inferior_media;81.490000000000;81.490000000081;81.490000000081;81.490000000000;81.489999999918;81.490000000000;81.490000000081;81.489999999919;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.489999999919;81.490000000000;81.490000000081;81.490000000000;81.490000000000;81.490000000000;81.489999999918;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;81.490000000000;
24;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;372.690000000000;407.780000000000;448.670000000000;448.670000000000;inf;inf;inf;inf;inf;inf;inf;inf;372.690000000000;407.780000000000;448.670000000000;448.670000000000;inf;inf;inf;inf;inf;inf;inf;inf;372.690000000000;407.780000000000;448.670000000000;448.670000000000;inf;inf;inf;inf;inf;inf;inf;
25;limite_inferior_media;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;
