idRestricaoOperativaUHE;AttVetor;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021;09/2021;10/2021;11/2021;12/2021;01/2022;02/2022;03/2022;04/2022;05/2022;06/2022;07/2022;08/2022;09/2022;10/2022;11/2022;12/2022;01/2023;02/2023;03/2023;04/2023;05/2023;06/2023;07/2023;08/2023;09/2023;10/2023;11/2023;12/2023;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024;
1;limite_inferior_media;17.650000000000;17.650000000018;17.650000000018;17.650000000000;17.649999999982;17.650000000000;17.650000000018;17.649999999982;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.649999999982;17.650000000000;17.650000000018;17.650000000000;17.650000000000;17.650000000000;17.649999999982;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;
1;limite_superior_media;17.650000000000;17.650000000018;17.650000000018;17.650000000000;17.649999999982;17.650000000000;17.650000000018;17.649999999982;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.649999999982;17.650000000000;17.650000000018;17.650000000000;17.650000000000;17.650000000000;17.649999999982;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;17.650000000000;
2;limite_inferior_media;5.500000000000;5.500000000006;5.500000000005;5.500000000000;5.499999999995;5.500000000000;5.500000000005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;limite_superior_media;20;20.000000000020;20.000000000020;20;19.999999999980;20;20.000000000020;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
3;limite_inferior_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;limite_superior_media;196;196.000000000196;196.000000000196;196;195.999999999804;196;196.000000000196;195.999999999804;196;196;196;196;196;196;196;196;195.999999999804;196;196.000000000196;196;196;196;195.999999999804;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196;196.000000000000;196;196;196.000000000000;196;196;196;196;196;196;196;196;196;
4;limite_inferior_media;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;-inf;
4;limite_superior_media;24000;24000.000000024003;24000.000000024000;24000;23999.999999976004;24000;24000.000000024000;23999.999999975997;24000;24000;24000;24000;24000;24000;24000;24000;23999.999999975997;24000;24000.000000024000;24000;24000;24000;23999.999999976000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;24000;
5;limite_inferior_media;623;623.000000000623;623.000000000623;623;622.999999999377;623;623.000000000623;622.999999999377;623;623;623;623;623;623;623;622.800000000000;622.799999999377;622.800000000000;622.800000000623;622.800000000000;622.800000000000;0;0;0;0;0;0;0;0;622.800000000000;622.800000000000;622.800000000000;622.800000000000;0;0;0;0;0;0;0;0;622.800000000000;622.800000000000;622.800000000000;622.800000000000;0;0;0;0;0;0;0;0;622.800000000000;622.800000000000;622.800000000000;622.800000000000;0;0;0;
5;limite_superior_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
