idTermeletrica;AttVetor;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021;09/2021;10/2021;11/2021;12/2021;01/2022;02/2022;03/2022;04/2022;05/2022;06/2022;07/2022;08/2022;09/2022;10/2022;11/2022;12/2022;01/2023;02/2023;03/2023;04/2023;05/2023;06/2023;07/2023;08/2023;09/2023;10/2023;11/2023;12/2023;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024;
1;custo_de_operacao_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;potencia_util_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;potencia_minima_media;131.200000000000;106.200000000106;130.000000000130;141.300000000000;141.299999999859;141.300000000000;141.300000000141;191.299999999809;177.300000000000;186.200000000000;186.100000000000;182.500000000000;171.300000000000;169.300000000000;166.300000000000;101.300000000000;10.899999999989;151.300000000000;154.000000000154;165;164;125;24.999999999975;85.200000000000;141.700000000000;131.600000000000;122.300000000000;143.900000000000;144;151.300000000000;154;165;164;125;25;85.200000000000;141.700000000000;131.600000000000;122.300000000000;143.900000000000;144;151.300000000000;154;165;164;125;25;85.200000000000;141.700000000000;131.600000000000;122.300000000000;143.900000000000;144;151.300000000000;154;165;164;125.000000000000;25;85.200000000000;
1;potencia_disponivel_minima_media;131.200000000000;106.200000000106;130.000000000130;141.300000000000;141.299999999859;141.300000000000;141.300000000141;191.299999999809;177.300000000000;186.200000000000;186.100000000000;182.500000000000;171.300000000000;169.300000000000;166.300000000000;101.300000000000;10.899999999989;151.300000000000;154.000000000154;165;164;125;24.999999999975;85.200000000000;141.700000000000;131.600000000000;122.300000000000;143.900000000000;144;151.300000000000;154;165;164;125;25;85.200000000000;141.700000000000;131.600000000000;122.300000000000;143.900000000000;144;151.300000000000;154;165;164;125;25;85.200000000000;141.700000000000;131.600000000000;122.300000000000;143.900000000000;144;151.300000000000;154;165;164;125.000000000000;25;85.200000000000;
1;potencia_disponivel_maxima_media;131.200000000000;106.200000000106;130.000000000130;141.300000000000;141.299999999859;141.300000000000;141.300000000141;191.299999999809;177.300000000000;186.200000000000;186.100000000000;182.500000000000;171.300000000000;169.300000000000;166.300000000000;101.300000000000;10.899999999989;151.300000000000;154.000000000154;165;164;125;24.999999999975;85.200000000000;141.700000000000;131.600000000000;122.300000000000;143.900000000000;144;151.300000000000;154;165;164;125;25;85.200000000000;141.700000000000;131.600000000000;122.300000000000;143.900000000000;144;151.300000000000;154;165;164;125;25;85.200000000000;141.700000000000;131.600000000000;122.300000000000;143.900000000000;144;151.300000000000;154;165;164;125.000000000000;25;85.200000000000;
2;custo_de_operacao_media;20.120000000000;20.120000000020;20.120000000020;20.120000000000;20.119999999980;20.120000000000;20.120000000020;20.119999999980;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.119999999980;20.120000000000;20.120000000020;20.120000000000;20.120000000000;20.120000000000;20.119999999980;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;20.120000000000;
2;potencia_util_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;potencia_minima_media;1350;1350.000000001350;1350.000000001350;1350;1349.999999998650;818.500000000009;174.517857143024;1134.139784945099;1215;1220;1220;1220;1220;1220;1220;1220;1219.999999998780;30.730769230762;349.183908046333;1350;1350;1350;1349.999999998650;1350;1350;1350;1350;1350;1350;30.550000000000;349.248900000000;1350;1350;1350;1350;1350;1350;1350;1350;1350;1350;30.550000000000;349.248900000000;1350;1350;1350;1350;1350;1350;1350;1350;1350;1350;31.334900000000;348.907200000000;1350;1350;1350;1350;1350;
2;potencia_disponivel_minima_media;1350;1350.000000001350;1350.000000001350;1350;1349.999999998650;818.500000000009;174.517857143024;1134.139784945099;1215;1220;1220;1220;1220;1220;1220;1220;1219.999999998780;30.730769230762;349.183908046333;1350;1350;1350;1349.999999998650;1350;1350;1350;1350;1350;1350;30.550000000000;349.248900000000;1350;1350;1350;1350;1350;1350;1350;1350;1350;1350;30.550000000000;349.248900000000;1350;1350;1350;1350;1350;1350;1350;1350;1350;1350;31.334900000000;348.907200000000;1350;1350;1350;1350;1350;
2;potencia_disponivel_maxima_media;1350;1350.000000001350;1350.000000001350;1350;1349.999999998650;818.500000000009;174.517857143024;1134.139784945099;1215;1220;1220;1220;1220;1220;1220;1220;1219.999999998780;30.730769230762;349.183908046333;1350;1350;1350;1349.999999998650;1350;1350;1350;1350;1350;1350;30.550000000000;349.248900000000;1350;1350;1350;1350;1350;1350;1350;1350;1350;1350;30.550000000000;349.248900000000;1350;1350;1350;1350;1350;1350;1350;1350;1350;1350;31.334900000000;348.907200000000;1350;1350;1350;1350;1350;
