idRestricaoEletrica;AttVetor;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021;09/2021;10/2021;11/2021;12/2021;01/2022;02/2022;03/2022;04/2022;05/2022;06/2022;07/2022;08/2022;09/2022;10/2022;11/2022;12/2022;01/2023;02/2023;03/2023;04/2023;05/2023;06/2023;07/2023;08/2023;09/2023;10/2023;11/2023;12/2023;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024;
6;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;potencia_maxima_media;5853.571428571500;5843.965517247300;5848.000000005900;5844.444444444300;5858.333333327400;5853.999999999900;5866.071428577299;5860.080645155400;5848.076923077000;5848.275862068900;5845.833333333299;5845.833333333299;5845.833333333299;5836.413043478400;5850;5851.785714285599;5860.080645155400;5862.500000000100;5862.068965523100;5860.500000000000;5850;6000;5999.999999994000;6000;5847.580645161301;5850;5855.555555555700;6200;6200;5863.740000000000;5860.080000000000;5870.580000000000;5855.010000000000;6000;6000;6000;5856.450000000000;5851.800000000000;5861.280000000000;6200;6200;5863.740000000000;5860.080000000000;5870.580000000000;5850;6000;6000;6000;5856.450000000000;5853.450000000000;5846.790000000001;6200;6200;5858.309999999999;5870.580000000000;5865.300000000000;5855.010000000000;6000;6000;6000;
7;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;potencia_maxima_media;6853.571428571500;6947.988505754100;6649.333333340001;6844.444444444300;6711.111111104300;6705.333333333199;6721.428571435299;6806.720430100700;6825.961538461601;6826.149425287300;6819.444444444400;6845.833333333299;6845.833333333299;6945.471014492799;7500;7500;7699.999999992300;99999;99999.000000100001;99999;99999;99999;99998.999999899999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;
8;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;potencia_maxima_media;3800;3800.000000003800;3700.000000003700;3800;3941.666666662800;3946.000000000100;3933.928571432500;3939.919354834800;3951.923076923000;3951.724137931100;3800;3800;3800;3800;3800;3800;3939.919354834800;3837.499999999900;3937.931034486700;3939.500000000000;3800;99999;99998.999999899999;99999;99999;99999;99999;99999;99999;3836.260000000000;3939.920000000000;3929.420000000000;3800;99999;99999;99999;99999;99999;99999;99999;99999;3836.260000000000;3939.920000000000;3929.420000000000;3800;99999;99999;99999;99999;99999;99999;99999;99999;3841.690000000000;3929.420000000000;3934.700000000000;3800;99999;99999;99999;
9;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;potencia_maxima_media;5992.416666666741;6431.824712650193;6254.520000006429;6882.904320987614;6982.805555548490;7204.839999999896;7264.160714292942;5523.622311822368;5120.660256410374;5260.106321838995;5529.486111111045;5515.194444444390;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
10;potencia_minima_media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;potencia_maxima_media;5247.726190476185;5206.678160924774;5293.826666671982;5286.876543209787;5246.333333328070;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
